locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0026,ileS,0,22391,25207,1,1,0.000394321766561514,2817,1,isoleucine--tRNA ligase
b0027,lspA,0,25207,25701,1,0,0,495,0,lipoprotein signal peptidase
b0028,fkpB,0,25826,26275,1,801,0.0666666666666667,450,27,peptidyl-prolyl cis-trans isomerase FkpB
b0029,ispH,0,26277,27227,1,3,0.00116822429906542,951,1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
b0030,rihC,0,27293,28207,1,1957,0.0679611650485437,915,56,ribonucleoside hydrolase RihC
b0031,dapB,0,28374,29195,1,0,0,822,0,4-hydroxy-tetrahydrodipicolinate reductase
b0032,carA,0,29651,30799,1,2318,0.0908212560386473,1149,94,carbamoyl phosphate synthetase subunit alpha
b0033,carB,0,30817,34038,1,5408,0.0606896551724138,3222,176,carbamoyl phosphate synthetase subunit beta
b0034,caiF,0,34300,34695,1,3746,0.302521008403361,396,108,DNA-binding transcriptional activator CaiF
b0035,caiE,0,34781,35371,-1,2061,0.107142857142857,591,57,putative transferase CaiE
b0036,caiD,0,35377,36162,-1,2139,0.107344632768362,786,76,crotonobetainyl-CoA hydratase
b0037,caiC,0,36271,37824,-1,4435,0.100071479628306,1554,140,carnitine--CoA ligase
b0038,caiB,0,37898,39115,-1,3816,0.104831358249772,1218,115,gamma-butyrobetainyl-CoA:carnitine CoA transferase
b0039,caiA,0,39244,40386,-1,2372,0.0689990281827016,1143,71,crotonobetainyl-CoA reductase
b0040,caiT,0,40417,41931,-1,10565,0.156891495601173,1515,214,L-carnitine:gamma-butyrobetaine antiporter
b0041,fixA,0,42403,43173,1,4555,0.142651296829971,771,99,putative electron transfer flavoprotein FixA
b0042,fixB,0,43188,44129,1,2636,0.0790094339622641,942,67,putative electron transfer flavoprotein FixB
b0043,fixC,0,44180,45466,1,2292,0.0578084555651424,1287,67,putative oxidoreductase FixC
b0044,fixX,0,45463,45750,1,683,0.0730769230769231,288,19,putative ferredoxin FixX
b0045,yaaU,0,45807,47138,1,3020,0.0934111759799833,1332,112,putative transporter YaaU
b0046,kefF,0,47246,47776,1,1447,0.0794979079497908,531,38,regulator of KefC-mediated potassium transport and quinone oxidoreductase
b0047,kefC,0,47769,49631,1,3615,0.0745378652355397,1863,125,K(+) : H(+) antiporter KefC
b0048,folA,0,49823,50302,1,1,0.00231481481481481,480,1,dihydrofolate reductase
b0049,apaH,0,50380,51222,-1,1804,0.0961791831357049,843,73,diadenosine tetraphosphatase
b0050,apaG,0,51229,51606,-1,1155,0.093841642228739,378,32,DUF525 domain-containing protein ApaG
b0051,rsmA,0,51609,52430,-1,2065,0.114864864864865,822,85,16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
b0052,pdxA,0,52427,53416,-1,2804,0.101010101010101,990,90,4-hydroxythreonine-4-phosphate dehydrogenase
b0053,surA,0,53416,54702,-1,2654,0.088006902502157,1287,102,chaperone SurA
b0054,lptD,0,54755,57109,-1,0,0,2355,0,lipopolysaccharide assembly protein LptD
b0055,djlA,0,57364,58179,1,3331,0.118367346938776,816,87,co-chaperone protein DjlA
b0056,yabP,0,58474,59124,1,12213,0.402730375426621,651,236,putative uncharacterized protein YabP
b0057,yabQ,0,59121,59279,1,2021,0.243055555555556,159,35,protein YabQ
b0058,rluA,0,59687,60346,-1,2335,0.11952861952862,660,71,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
b0059,rapA,0,60358,63264,-1,10023,0.103935804356133,2907,272,RNA polymerase-binding ATPase and RNAP recycling factor
b0060,polB,0,63429,65780,-1,8906,0.106282475200756,2352,225,DNA polymerase II
b0061,araD,0,65855,66550,-1,2494,0.118022328548644,696,74,L-ribulose-5-phosphate 4-epimerase AraD
b0062,araA,0,66835,68337,-1,4210,0.090169992609017,1503,122,L-arabinose isomerase
b0063,araB,0,68348,70048,-1,6779,0.106466361854997,1701,163,ribulokinase
b0064,araC,0,70387,71265,1,2594,0.0997474747474748,879,79,DNA-binding transcriptional dual regulator AraC
b0065,yabI,0,71351,72115,1,1828,0.0841799709724238,765,58,DedA family protein YabI
b0066,thiQ,0,72229,72927,-1,1719,0.0793650793650794,699,50,thiamine ABC transporter ATP binding subunit
b0067,thiP,0,72911,74521,-1,5366,0.096551724137931,1611,140,thiamine ABC transporter membrane subunit
b0068,thiB,0,74497,75480,-1,3363,0.0948081264108352,984,84,thiamine ABC transporter periplasmic binding protein
b4762,sroA,0,75516,75608,-1,53,0.0238095238095238,93,2,
b0069,sgrR,0,75644,77299,-1,4352,0.0804828973843058,1656,120,DNA-binding transcriptional dual regulator SgrR
b4577,sgrS,0,77367,77593,1,938,0.141463414634146,227,29,
b4662,sgrT,0,77388,77519,1,617,0.142857142857143,132,17,PtsG glucose transporter inhibitor
b0070,setA,0,77621,78799,1,6929,0.199623352165725,1179,212,sugar exporter SetA
b0071,leuD,0,78848,79453,-1,2407,0.0952380952380952,606,52,3-isopropylmalate dehydratase subunit LeuD
b0072,leuC,0,79464,80864,-1,4816,0.106264869151467,1401,134,3-isopropylmalate dehydratase subunit LeuC
b0073,leuB,0,80867,81958,-1,2611,0.0783316378433367,1092,77,3-isopropylmalate dehydrogenase
b0074,leuA,0,81958,83529,-1,7356,0.125088339222615,1572,177,2-isopropylmalate synthase
b0075,leuL,0,83622,83708,-1,4780,0.620253164556962,87,49,leu operon leader peptide
b0076,leuO,0,84368,85312,1,7345,0.239717978848414,945,204,DNA-binding transcriptional dual regulator LeuO
b4726,yabR,0,85467,85511,-1,84,0.170731707317073,45,7,protein YabR
b0077,ilvI,0,85630,87354,1,9337,0.155183515775918,1725,241,acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
b0078,ilvH,0,87357,87848,1,3148,0.164785553047404,492,73,acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
b0080,cra,0,88028,89032,1,2843,0.133701657458564,1005,121,DNA-binding transcriptional dual regulator Cra
b0081,mraZ,0,89634,90092,1,74,0.0144927536231884,459,6,DNA-binding transcriptional repressor MraZ
b0082,rsmH,0,90094,91035,1,91,0.0117924528301887,942,10,16S rRNA m(4)C1402 methyltransferase
b0083,ftsL,0,91032,91397,1,0,0,366,0,cell division protein FtsL
b0084,ftsI,0,91413,93179,1,0,0,1767,0,peptidoglycan DD-transpeptidase FtsI
b0085,murE,0,93166,94653,1,0,0,1488,0,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
b0086,murF,0,94650,96008,1,0,0,1359,0,D-alanyl-D-alanine-adding enzyme
b0087,mraY,0,96002,97084,1,0,0,1083,0,phospho-N-acetylmuramoyl-pentapeptide-transferase
b0088,murD,0,97087,98403,1,0,0,1317,0,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
b0089,ftsW,0,98403,99647,1,4,0.000892060660124889,1245,1,essential cell division protein FtsW
b0090,murG,0,99644,100711,1,0,0,1068,0,N-acetylglucosaminyl transferase
b0091,murC,0,100765,102240,1,4,0.000752445447705041,1476,1,UDP-N-acetylmuramate--L-alanine ligase
b0092,ddlB,0,102233,103153,1,1042,0.0325693606755127,921,27,D-alanine--D-alanine ligase B
b0093,ftsQ,0,103155,103985,1,0,0,831,0,cell division protein FtsQ
b0094,ftsA,0,103982,105244,1,0,0,1263,0,cell division protein FtsA
b0095,ftsZ,0,105305,106456,1,19,0.00192864030858245,1152,2,cell division protein FtsZ
b0096,lpxC,0,106557,107474,1,0,0,918,0,UDP-3-O-acyl-N-acetylglucosamine deacetylase
b0097,secM,0,107705,108217,1,74,0.00865800865800866,513,4,SecA translation regulator
b0098,secA,0,108279,110984,1,0,0,2706,0,protein translocation ATPase
b0099,mutT,0,111044,111433,1,705,0.0683760683760684,390,24,8-oxo-dGTP diphosphatase
b0101,yacG,0,111649,111846,-1,349,0.0782122905027933,198,14,DNA gyrase inhibitor YacG
b0102,zapD,0,111856,112599,-1,1965,0.0865671641791045,744,58,cell division factor ZapD
b0103,coaE,0,112599,113219,-1,21,0.00536672629695885,621,3,dephospho-CoA kinase
b4727,yacM,0,113244,113288,1,16,0.024390243902439,45,1,protein YacM
b0104,guaC,0,113444,114487,1,2303,0.0691489361702128,1044,65,GMP reductase
b0106,hofC,0,114522,115724,-1,3325,0.0941828254847645,1203,102,inner membrane protein HofC
b0107,hofB,0,115714,117099,-1,3268,0.0921474358974359,1386,115,T2SSE family protein
b0108,ppdD,0,117109,117549,-1,1347,0.0931989924433249,441,37,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
b0109,nadC,0,117752,118645,-1,1656,0.0993788819875776,894,80,quinolinate phosphoribosyltransferase (decarboxylating)
b0110,ampD,0,118733,119284,1,1570,0.0985915492957746,552,49,1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
b0111,ampE,0,119281,120135,1,3310,0.105194805194805,855,81,protein AmpE
b0112,aroP,0,120178,121551,-1,5004,0.11802748585287,1374,146,aromatic amino acid:H(+) symporter AroP
b0113,pdhR,0,122092,122856,1,1118,0.0624092888243832,765,43,DNA-binding transcriptional dual regulator PdhR
b0114,aceE,0,123017,125680,1,1287,0.0642201834862385,2664,154,pyruvate dehydrogenase E1 component
b0115,aceF,0,125695,127587,1,370,0.034037558685446,1893,58,pyruvate dehydrogenase, E2 subunit
b0116,lpd,0,127912,129336,1,12,0.00545596258768511,1425,7,lipoamide dehydrogenase
b0117,yacH,0,129407,131260,-1,5182,0.0838825644098262,1854,140,DUF3300 domain-containing protein YacH
b0118,acnB,0,131615,134212,1,926,0.0538691748610517,2598,126,hypothetical protein
b0119,yacL,0,134388,134750,1,1570,0.122324159021407,363,40,UPF0231 family protein YacL
b0120,speD,0,134788,135582,-1,2928,0.103351955307263,795,74,S-adenosylmethionine decarboxylase proenzyme
b0121,speE,0,135598,136464,-1,2310,0.0832266325224072,867,65,spermidine synthase
b0122,yacC,0,136570,136917,-1,673,0.0668789808917197,348,21,putative lipoprotein YacC
b0123,cueO,0,137083,138633,1,3488,0.0787965616045845,1551,110,multicopper oxidase CueO
b0124,gcd,0,138835,141225,-1,7584,0.0947955390334572,2391,204,quinoprotein glucose dehydrogenase
b0125,hpt,0,141431,141967,1,1606,0.128099173553719,537,62,hypoxanthine phosphoribosyltransferase
b0126,can,0,142008,142670,-1,0,0,663,0,carbonic anhydrase 2
b0127,yadG,0,142779,143705,1,1617,0.0766467065868263,927,64,putative ABC transporter ATP-binding protein YadG
b0128,yadH,0,143702,144472,1,1517,0.0835734870317003,771,58,putative ABC transporter membrane subunit YadH
b0129,yadI,0,144577,145017,1,1172,0.100755667506297,441,40,putative PTS enzyme IIA component YadI
b0130,yadE,0,145081,146310,1,3295,0.0894308943089431,1230,99,putative polysaccharide deacetylase lipoprotein YadE
b0131,panD,0,146314,146694,-1,331,0.0408163265306122,381,14,aspartate 1-decarboxylase proenzyme
b0132,rpnC,0,146968,147870,1,3477,0.104551045510455,903,85,recombination-promoting nuclease RpnC
b0133,panC,0,147944,148795,-1,1914,0.0899608865710561,852,69,pantothenate synthetase
b0134,panB,0,148807,149601,-1,2237,0.0810055865921788,795,58,3-methyl-2-oxobutanoate hydroxymethyltransferase
b0135,yadC,0,149715,150953,-1,6800,0.123655913978495,1239,138,fimbrial tip-adhesin YadC
b0136,yadK,0,151003,151599,-1,128,0.0241635687732342,597,13,putative fimbrial protein YadK
b0137,yadL,0,151626,152231,-1,1723,0.133699633699634,606,73,putative fimbrial protein YadL
b0138,yadM,0,152243,152812,-1,411,0.0721247563352826,570,37,putative fimbrial protein YadM
b0139,htrE,0,152829,155426,-1,17221,0.225737494655836,2598,528,putative fimbrial usher protein HtrE
b0140,yadV,0,155461,156201,-1,7828,0.268365817091454,741,179,putative fimbrial chaperone YadV
b0141,yadN,0,156299,156883,-1,2596,0.127134724857685,585,67,putative fimbrial protein YadN
b0142,folK,0,157253,157732,-1,276,0.0462962962962963,480,20,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
b0143,pcnB,0,157729,159126,-1,2252,0.0778395552025417,1398,98,poly(A) polymerase I
b0144,gluQ,0,159186,160112,-1,2204,0.0766467065868263,927,64,glutamyl-Q tRNA(Asp) synthetase
b0145,dksA,0,160149,160604,-1,1289,0.126520681265207,456,52,RNA polymerase-binding transcription factor DksA
b0146,sfsA,0,160782,161486,-1,3587,0.132283464566929,705,84,putative DNA-binding transcriptional regulator of maltose metabolism
b0147,thpR,0,161501,162031,-1,1280,0.0732217573221757,531,35,RNA 2',3'-cyclic phosphodiesterase
b0148,hrpB,0,162105,164534,1,7665,0.0882487425697302,2430,193,RNA-dependent NTPase HrpB
b0149,mrcB,0,164730,167264,1,6660,0.0959684487291849,2535,219,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
b0149,mrcB,0,164865,167264,1,6162,0.0953703703703704,2400,206,PBP1Bgamma
b0150,fhuA,0,167484,169727,1,7795,0.109405940594059,2244,221,ferrichrome outer membrane transporter/phage receptor
b0151,fhuC,0,169778,170575,1,2453,0.0820584144645341,798,59,iron(III) hydroxamate ABC transporter ATP binding subunit
b0152,fhuD,0,170575,171465,1,2142,0.0773067331670823,891,62,iron(III) hydroxamate ABC transporter periplasmic binding protein
b0153,fhuB,0,171462,173444,1,5537,0.0851540616246499,1983,152,iron(III) hydroxamate ABC transporter membrane subunit
b0154,hemL,0,173602,174882,-1,75,0.00520381613183001,1281,6,glutamate-1-semialdehyde 2,1-aminomutase
b4765,yadX,0,175048,175095,1,52,0.0454545454545455,48,2,protein YadX
b0155,clcA,0,175107,176528,1,5258,0.1046875,1422,134,chloride:H(+) antiporter ClcA
b4728,yadW,0,176552,176617,1,2,0.0333333333333333,66,2,protein YadW
b0156,erpA,0,176610,176954,1,0,0,345,0,iron-sulfur cluster insertion protein ErpA
b0157,yadS,0,177001,177624,-1,1524,0.0854092526690391,624,48,PF03458 family protein YadS
b0158,btuF,0,177662,178462,-1,2129,0.0790568654646325,801,57,vitamin B12 ABC transporter periplasmic binding protein
b0159,mtn,0,178455,179153,-1,465,0.0698412698412698,699,44,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
b0160,dgt,0,179237,180754,1,15564,0.204096561814192,1518,279,dGTP triphosphohydrolase
b0161,degP,0,180884,182308,1,6889,0.144193296960249,1425,185,periplasmic serine endoprotease DegP
b0162,cdaR,0,182463,183620,1,2815,0.0795781399808245,1158,83,DNA-binding transcriptional activator CdaR
b0163,yaeH,0,183709,184095,-1,1081,0.0916905444126074,387,32,DUF3461 domain-containing protein YaeH
b0164,yaeI,0,184257,185069,-1,3045,0.127049180327869,813,93,phosphodiesterase YaeI
b0166,dapD,0,185123,185947,-1,0,0,825,0,tetrahydrodipicolinate succinylase
b0167,glnD,0,185978,188650,-1,914,0.0407315045719036,2673,98,PII uridylyltransferase/uridylyl removing enzyme
b0168,map,0,188712,189506,-1,0,0,795,0,methionine aminopeptidase
b4414,tff,0,189712,189847,1,0,0,136,0,
b0169,rpsB,0,189874,190599,1,0,0,726,0,30S ribosomal subunit protein S2
b0170,tsf,0,190857,191708,1,0,0,852,0,protein chain elongation factor EF-Ts
b0171,pyrH,0,191855,192580,1,0,0,726,0,UMP kinase
b0172,frr,0,192872,193429,1,0,0,558,0,ribosome-recycling factor
b0173,dxr,0,193521,194717,1,0,0,1197,0,1-deoxy-D-xylulose 5-phosphate reductoisomerase
b0174,uppS,0,194903,195664,1,0,0,762,0,ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
b0175,cdsA,0,195677,196534,1,2,0.00129366106080207,858,1,CDP-diglyceride synthetase
b0176,rseP,0,196546,197898,1,4,0.000821018062397373,1353,1,intramembrane zinc metalloprotease RseP
b0177,bamA,0,197928,200360,1,0,0,2433,0,outer membrane protein assembly factor BamA
b0178,skp,0,200482,200967,1,363,0.0205479452054795,486,9,periplasmic chaperone Skp
b0179,lpxD,0,200971,201996,1,0,0,1026,0,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
b0180,fabZ,0,202101,202556,1,0,0,456,0,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
b0181,lpxA,0,202560,203348,1,1,0.00140646976090014,789,1,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
b0182,lpxB,0,203348,204496,1,9,0.000966183574879227,1149,1,lipid A disaccharide synthase
b0183,rnhB,0,204493,205089,1,796,0.0464684014869888,597,25,RNase HII
b0184,dnaE,0,205126,208608,1,0,0,3483,0,DNA polymerase III subunit alpha
b0185,accA,0,208621,209580,1,0,0,960,0,acetyl-CoA carboxyltransferase subunit alpha
b0186,ldcC,0,209679,211820,1,6419,0.0990663900414938,2142,191,lysine decarboxylase 2
b0187,yaeR,0,211877,212266,1,793,0.0826210826210826,390,29,VOC domain-containing protein YaeR
b0188,tilS,0,212331,213629,1,138,0.00512820512820513,1299,6,tRNA(Ile)-lysidine synthetase
b0189,rof,0,213678,213932,-1,724,0.0739130434782609,255,17,modulator of Rho-dependent transcription termination
b4406,yaeP,0,213925,214125,-1,827,0.132596685082873,201,24,UPF0253 family protein YaeP
b0190,yaeQ,0,214291,214836,1,1013,0.0792682926829268,546,39,uncharacterized protein YaeQ
b0191,arfB,0,214833,215255,1,1355,0.094488188976378,423,36,peptidyl-tRNA hydrolase, ribosome rescue factor
b0192,nlpE,0,215269,215979,1,2374,0.109375,711,70,sensor lipoprotein NlpE
b0193,yaeF,0,216179,217003,-1,3051,0.133243606998654,825,99,peptidase C92 family protein YaeF
b0194,proS,0,217057,218775,-1,0,0,1719,0,proline--tRNA ligase
b0195,trmO,0,218887,219594,-1,2343,0.100313479623824,708,64,tRNA m(6)t(6)A37 methyltransferase
b0196,rcsF,0,219591,219995,-1,2000,0.172602739726027,405,63,sensor lipoprotein RcsF
b0197,metQ,0,220113,220928,-1,2412,0.11156462585034,816,82,L-methionine/D-methionine ABC transporter membrane anchored binding protein
b0198,metI,0,220968,221621,-1,2701,0.142614601018676,654,84,L-methionine/D-methionine ABC transporter membrane subunit
b0199,metN,0,221614,222645,-1,3202,0.11194833153929,1032,104,L-methionine/D-methionine ABC transporter ATP binding subunit
b0200,gmhB,0,222833,223408,1,518,0.0905587668593449,576,47,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
b0201,rrsH,0,223771,225312,1,9744,0.193804034582133,1542,269,
b0202,ileV,0,225381,225457,1,199,0.171428571428571,77,12,
b0203,alaV,0,225500,225575,1,76,0.101449275362319,76,7,
b0204,rrlH,0,225759,228662,1,17440,0.198928844682479,2904,520,
b0205,rrfH,0,228756,228875,1,211,0.203703703703704,120,22,
b0206,aspU,0,228928,229004,1,135,0.1,77,7,
b0207,dkgB,0,229167,229970,1,893,0.0441988950276243,804,32,methylglyoxal reductase DkgB
b0208,yafC,0,229967,230881,-1,1112,0.0412621359223301,915,34,LysR family transcriptional regulator YafC
b0209,yafD,0,231122,231922,1,1465,0.0762829403606103,801,55,endonuclease/exonuclease/phosphatase domain-containing protein YafD
b0210,yafE,0,231926,232549,1,911,0.0551601423487545,624,31,putative S-adenosylmethionine-dependent methyltransferase
b0211,mltD,0,232597,233955,-1,2833,0.0637254901960784,1359,78,membrane-bound lytic murein transglycosylase D
b0212,gloB,0,234027,234782,-1,773,0.052863436123348,756,36,hydroxyacylglutathione hydrolase GloB
b0213,yafS,0,234816,235538,1,616,0.0368663594470046,723,24,putative S-adenosyl-L-methionine-dependent methyltransferase
b0214,rnhA,0,235535,236002,-1,409,0.0592417061611374,468,25,ribonuclease HI
b0215,dnaQ,0,236067,236798,1,57,0.0151745068285281,732,10,DNA polymerase III subunit epsilon
b0216,aspV,0,236931,237007,1,569,0.2,77,14,
b0217,yafT,0,237335,238120,1,164,0.0169491525423729,786,12,lipoprotein YafT
b4586,ykfM,0,238257,238736,-1,0,0,480,0,uncharacterized protein YkfM
b0218,yafU,0,238746,239084,-1,688,0.0882352941176471,339,27,pseudogene
b4503,yafF,0,239190,239378,1,282,0.0935672514619883,189,16,pseudogene
b0219,yafV,0,239419,240189,-1,1467,0.069164265129683,771,48,2-oxoglutaramate amidase
b0220,ivy,0,240343,240816,1,1140,0.0772833723653396,474,33,periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
b0221,fadE,0,240859,243303,-1,3850,0.0599727396637892,2445,132,acyl-CoA dehydrogenase
b0222,gmhA,0,243543,244121,1,156,0.0363984674329502,579,19,D-sedoheptulose 7-phosphate isomerase
b0223,yafJ,0,244327,245094,1,1624,0.0679190751445087,768,47,putative glutamine amidotransferase YafJ
b0224,ldtF,0,245065,245805,-1,1566,0.0854572713643178,741,57,L,D-transpeptidase domain-containing protein LdtF
b0225,yafQ,0,245961,246239,-1,489,0.0873015873015873,279,22,ribosome-dependent mRNA interferase toxin YafQ
b0226,dinJ,0,246242,246502,-1,1349,0.174468085106383,261,41,antitoxin/DNA-binding transcriptional repressor DinJ
b0227,yafL,0,246712,247461,1,1404,0.0622222222222222,750,42,NlpC/P60 family protein YafL
b0228,rayT,0,247637,248134,1,828,0.0757238307349666,498,34,REP-associated tyrosine transposase
b0229,lfhA,0,248358,250070,-1,3157,0.0635538261997406,1713,98,pseudogene
b0230,lafU,0,250072,250827,1,738,0.039647577092511,756,27,pseudogene
b0231,dinB,0,250898,251953,1,1535,0.0557308096740273,1056,53,DNA polymerase IV
b0232,yafN,0,252005,252298,1,50,0.0150943396226415,294,4,antitoxin YafN
b0233,yafO,0,252301,252699,1,1625,0.136111111111111,399,49,ribosome-dependent mRNA interferase toxin YafO
b0234,yafP,0,252709,253161,1,116,0.0294117647058824,453,12,putative acyltransferase with acyl-CoA N-acyltransferase domain
b0235,ykfJ,0,253467,253733,1,2437,0.228215767634855,267,55,pseudogene
b0236,prfH,0,253702,254202,1,1097,0.0886917960088692,501,40,pseudogene
b0237,pepD,0,254259,255716,-1,3378,0.0860624523990861,1458,113,peptidase D
b0238,gpt,0,255977,256435,1,990,0.0917874396135266,459,38,xanthine-guanine phsophoribosyltransferase
b0239,frsA,0,256527,257771,1,2572,0.0865298840321142,1245,97,fermentation-respiration switch protein
b0240,crl,0,257829,259006,1,3064,0.216776625824694,1178,230,pseudogene
b4710,insB9,0,257923,258426,-1,1028,0.270925110132159,504,123,IS1 transposase B
b4709,insA9,0,258345,258620,-1,612,0.29718875502008,276,74,IS1 repressor TnpA
b0241,phoE,0,259045,260100,-1,4232,0.145110410094637,1056,138,outer membrane porin PhoE
b0242,proB,0,260388,261491,1,2680,0.0885311871227364,1104,88,glutamate 5-kinase
b0243,proA,0,261503,262756,1,4171,0.0947741364038973,1254,107,glutamate-5-semialdehyde dehydrogenase
b0244,thrW,0,262871,262946,1,146,0.0434782608695652,76,3,
b4626,ykfN,0,263150,263212,-1,28,0.0350877192982456,63,2,pseudogene
b0245,ykfI,0,263328,263669,-1,552,0.0584415584415584,342,18,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
b0246,yafW,0,263690,264007,-1,967,0.114982578397213,318,33,antitoxin of the YkfI-YafW toxin-antitoxin pair
b4504,ykfH,0,264026,264247,-1,916,0.115,222,23,DUF987 domain-containing protein YkfH
b0247,ykfG,0,264256,264732,-1,892,0.0744186046511628,477,32,CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
b0248,yafX,0,264748,265206,-1,1218,0.101449275362319,459,42,CP4-6 prophage; protein YafX
b0249,ykfF,0,265304,265543,-1,844,0.0925925925925926,240,20,CP4-6 prophage; protein YkfF
b0250,ykfB,0,265620,266087,-1,1144,0.0853080568720379,468,36,CP4-6 prophage; protein YkfB
b0251,yafY,0,266110,266553,-1,942,0.0725,444,29,CP4-6 prophage; inner membrane lipoprotein YafY
b4627,ykfL,0,266553,266774,-1,592,0.105,222,21,pseudogene
b4628,ykfK,0,266776,266967,-1,331,0.0635838150289017,192,11,pseudogene
b0252,yafZ,0,267184,268005,-1,2091,0.0851351351351351,822,63,CP4-6 prophage; DUF932 domain-containing protein YafZ
b0253,ykfA,0,268097,268960,-1,3723,0.11439588688946,864,89,CP4-6 prophage; putative GTP-binding protein YkfA
b0254,perR,0,269289,270182,-1,2538,0.0906832298136646,894,73,CP4-6 prophage; putative transcriptional regulator PerR
b4587,insN,0,270278,272190,1,4392,0.143437862950058,1913,247,pseudogene
b0256,insI1,0,270603,271754,1,2444,0.161041465766635,1152,167,IS30 transposase
b4690,eyeA,0,272580,272654,1,196,0.0882352941176471,75,6,
b0258,ykfC,0,272847,273992,1,3217,0.0920542635658915,1146,95,CP4-6 prophage; PF00078 domain-containing protein YkfC
b0259,insH1,0,274101,275081,-1,1713,0.310305775764439,981,274,CP4-6 prophage; IS5 transposase and trans-activator
b0260,mmuP,0,275325,276728,1,2743,0.067246835443038,1404,85,CP4-6 prophage; S-methyl-L-methionine transporter
b0261,mmuM,0,276715,277647,1,2092,0.0714285714285714,933,60,CP4-6 prophage; homocysteine S-methyltransferase
b0262,afuC,0,277756,278802,-1,2119,0.0752916224814422,1047,71,CP4-6 prophage; ABC transporter ATP-binding protein AfuC
b0263,afuB,0,278814,279162,-1,703,0.0507936507936508,349,16,pseudogene
b0264,insB2,0,279178,279681,-1,982,0.253303964757709,504,115,IS1 protein InsB
