seqid	start	end	strand	gene	locus_tag
CP000031.2	288773	290101	+	petB	SPO0272
CP000031.2	290120	290983	+	petC	SPO0273
CP000031.2	291065	291460	+		SPO0274
CP000031.2	291467	292033	+		SPO0275
CP000031.2	292054	292551	+		SPO0276
CP000031.2	292631	293887	-		SPO0277
CP000031.2	293884	294693	-	dapF	SPO0278
CP000031.2	294934	295009	+		SPO_tRNA-Lys-2
CP000031.2	295170	295337	+		SPO0280
CP000031.2	295450	295923	-		SPO0281
CP000031.2	296104	296379	-		SPO0282
CP000031.2	296376	296987	-		SPO0283
CP000031.2	296987	298276	-		SPO0284
CP000031.2	298273	298659	-		SPO0285
CP000031.2	298644	299168	-		SPO0286
CP000031.2	299165	300100	-	pyrB	SPO0287
CP000031.2	300846	301631	+	udgA	SPO0288
CP000031.2	301631	302230	+		SPO0289
CP000031.2	302227	302847	+		SPO0290
CP000031.2	302852	303394	+		SPO0291
CP000031.2	303491	304948	+		SPO0292
CP000031.2	304955	308356	+		SPO0293
CP000031.2	308364	308783	-		SPO0294
CP000031.2	308787	309605	-		SPO0295
CP000031.2	309710	310294	+		SPO0296
CP000031.2	310446	311396	-		SPO0297
CP000031.2	311525	313228	+		SPO0298
CP000031.2	313225	314274	+		SPO0299
CP000031.2	314278	314733	+		SPO0300
CP000031.2	314804	316648	+		SPO0301
CP000031.2	316617	317195	+		SPO0302
CP000031.2	317258	317392	+		SPO0303
CP000031.2	317412	318029	+		SPO0304
CP000031.2	318368	319084	-		SPO0305
CP000031.2	319140	320021	+	fdhD	SPO0306
CP000031.2	320619	321254	+	mobA	SPO0307
CP000031.2	321251	321742	+	mobB	SPO0308
CP000031.2	321739	322539	+		SPO0309
CP000031.2	322536	323795	+	moeA	SPO0310
CP000031.2	323819	324826	-		SPO0311
CP000031.2	324840	325310	-	greA	SPO0312
CP000031.2	325446	325826	-		SPO0313
CP000031.2	325911	326366	+	soxR	SPO0314
CP000031.2	326374	326682	-		SPO0315
CP000031.2	326914	328560	+		SPO0316
CP000031.2	328606	330441	+		SPO0317
CP000031.2	330431	331270	+	ispE	SPO0318
CP000031.2	331351	332349	-	ddsA	SPO0319
CP000031.2	332406	332621	+		SPO0320
CP000031.2	332618	333391	+		SPO0321
CP000031.2	333505	333669	+		SPO0322
CP000031.2	333666	334532	-		SPO0323
CP000031.2	334529	335476	-		SPO0324
CP000031.2	335827	336549	-	phbB	SPO0325
CP000031.2	336736	337911	-	phbA	SPO0326
CP000031.2	338082	338921	-		SPO0327
CP000031.2	339136	340068	-		SPO0328
CP000031.2	340065	340484	-		SPO0329
CP000031.2	340918	341967	+	ccpA	SPO0330
CP000031.2	342014	342577	-		SPO0331
CP000031.2	342602	343993	+	argH	SPO0332
CP000031.2	343990	344172	+		SPO0333
CP000031.2	344379	345644	+	lysA	SPO0334
CP000031.2	345684	348242	+		SPO0335
CP000031.2	348262	349101	-		SPO0336
CP000031.2	349240	349971	+	ftsE	SPO0337
CP000031.2	349968	350867	+		SPO0338
CP000031.2	350864	351595	+		SPO0339
CP000031.2	351721	353109	-	lpdA	SPO0340
CP000031.2	353181	353450	-		SPO0342
CP000031.2	353635	355143	-	sucB	SPO0343
CP000031.2	355147	358104	-	sucA	SPO0344
CP000031.2	358122	358784	-		SPO0344a
CP000031.2	358880	359431	-		SPO0345
CP000031.2	359481	360365	-	sucD	SPO0346
CP000031.2	360402	360911	-		SPO0346a
CP000031.2	360913	362106	-		SPO0347
CP000031.2	362383	363507	+		SPO0348
CP000031.2	363558	364520	-	mdh	SPO0349
CP000031.2	364683	365438	+		SPO0350
CP000031.2	365521	365835	-		SPO0351
CP000031.2	366147	367004	+	citE	SPO0352
CP000031.2	367011	367565	+		SPO0353
CP000031.2	367576	367782	+		SPO0354
CP000031.2	367782	368810	+		SPO0355
CP000031.2	368789	369547	+		SPO0356
CP000031.2	369582	370244	+		SPO0357
CP000031.2	370463	370849	+	sdhC	SPO0358
CP000031.2	370862	371233	+	sdhD	SPO0359
CP000031.2	371250	373055	+	sdhA	SPO0360
CP000031.2	373055	373336	+		SPO0360a
CP000031.2	373340	374119	+	sdhB	SPO0361
CP000031.2	374164	376323	+		SPO0362
CP000031.2	376576	376791	+		SPO0363
CP000031.2	377206	378387	+		SPO0364
CP000031.2	378468	379325	+		SPO0365
CP000031.2	379410	380120	-	deoD	SPO0366
CP000031.2	380136	380453	-		SPO0367
CP000031.2	380565	382565	-		SPO0368
CP000031.2	382532	384115	+		SPO0369
CP000031.2	384226	385512	+	ccrA	SPO0370
CP000031.2	385883	386602	+	luxR-1	SPO0371
CP000031.2	386685	387323	+		SPO0372
CP000031.2	387521	388918	+		SPO0373
CP000031.2	389073	389870	-		SPO0374
CP000031.2	389848	390798	-		SPO0375
CP000031.2	390860	391828	-		SPO0376
CP000031.2	391825	392919	-		SPO0377
CP000031.2	392919	394448	-		SPO0378
CP000031.2	394572	395570	-		SPO0379
CP000031.2	395729	396142	-		SPO0380
CP000031.2	396139	396729	-		SPO0381
CP000031.2	396719	397282	-		SPO0382
CP000031.2	397406	398020	-		SPO0383
CP000031.2	398149	398739	+		SPO0384
CP000031.2	398793	399386	-		SPO0385
CP000031.2	399394	399864	-		SPO0386
CP000031.2	399889	400953	-		SPO0387
CP000031.2	400950	401813	-		SPO0388
CP000031.2	401873	402334	-		SPO0389
CP000031.2	402464	403513	+		SPO0390
CP000031.2	403532	404017	-	bphC3	SPO0391
CP000031.2	404139	405155	-	trpS	SPO0392
CP000031.2	405115	405927	+		SPO0393
CP000031.2	405948	406139	-		SPO0394
CP000031.2	406211	406795	-		SPO0395
CP000031.2	406792	408333	-	mviN	SPO0396
CP000031.2	408330	411056	-	glnD	SPO0397
CP000031.2	411124	412299	-		SPO0398
CP000031.2	412384	413241	+		SPO0399
CP000031.2	413243	413614	+		SPO0400
CP000031.2	413677	414609	+	gshB	SPO0401
CP000031.2	414677	416191	-	comM	SPO0402
CP000031.2	416250	417125	-		SPO0403
CP000031.2	417186	417764	-		SPO0404
CP000031.2	417761	418285	-		SPO0405
CP000031.2	418384	419262	+	rpoH-1	SPO0406
CP000031.2	419259	420083	+		SPO0407
CP000031.2	420163	421359	+	coaBC	SPO0408
CP000031.2	421423	421878	+	dut	SPO0409
CP000031.2	421878	422918	+		SPO0410
CP000031.2	422854	423549	+		SPO0411
CP000031.2	423669	424136	-		SPO0412
CP000031.2	424229	425440	-		SPO0413
CP000031.2	425562	427577	+		SPO0414
CP000031.2	427642	428574	-		SPO0415
CP000031.2	428594	429733	-	mreD	SPO0416
CP000031.2	429730	431676	-	pbpA	SPO0417
CP000031.2	431678	432214	-		SPO0418
CP000031.2	432207	433142	-	mreC	SPO0419
CP000031.2	433204	434250	-	mreB	SPO0420
CP000031.2	434416	435201	+		SPO0421
CP000031.2	435291	436865	-	leuA	SPO0422
CP000031.2	437092	437673	-		SPO0423
CP000031.2	437751	438938	+		SPO0424
CP000031.2	438976	440388	-		SPO0425
CP000031.2	440542	442200	+	nadE	SPO0426
CP000031.2	442341	443000	+		SPO0427
CP000031.2	443116	444447	+		SPO0428
CP000031.2	444464	445396	-		SPO0429
CP000031.2	445622	446953	+	gltX-1	SPO0430
CP000031.2	447047	447616	-		SPO0431
CP000031.2	447721	448167	+		SPO0432
CP000031.2	448191	450707	-		SPO0433
CP000031.2	450704	451399	-		SPO0434
CP000031.2	451448	452083	+		SPO0435
CP000031.2	452085	452702	+		SPO0436
CP000031.2	452742	452948	-		SPO0437
CP000031.2	453151	453708	-		SPO0438
CP000031.2	453771	454187	-		SPO0439
CP000031.2	454284	454676	+		SPO0440
CP000031.2	454811	455152	+		SPO0441
CP000031.2	455224	455649	+		SPO0442
CP000031.2	455724	455942	+		SPO0443
CP000031.2	455955	456170	-		SPO0444
CP000031.2	456283	456858	+		SPO0445
CP000031.2	456890	458545	-		SPO0446
CP000031.2	458806	459792	+		SPO0447
CP000031.2	459926	460420	+		SPO0448
CP000031.2	460454	461095	+	nadD	SPO0449
CP000031.2	461048	461875	-		SPO0450
CP000031.2	461960	463450	+	dacB	SPO0451
CP000031.2	463501	463923	-		SPO0452
CP000031.2	464016	464474	-	dddW	SPO0453
CP000031.2	464569	465450	+		SPO0454
CP000031.2	465480	467126	+	lysS	SPO0455
CP000031.2	467237	467545	+		SPO0456
CP000031.2	467598	467999	+		SPO0457
CP000031.2	467966	470359	-		SPO0458
CP000031.2	468056	470425	+		SPO0459
CP000031.2	470475	471332	-		SPO0460
CP000031.2	471280	471909	+		SPO0461
CP000031.2	471959	472285	+		SPO0462
CP000031.2	472365	472772	+		SPO0463
CP000031.2	472839	473417	+		SPO0464
CP000031.2	473414	473896	-		SPO0465
CP000031.2	473906	474685	-		SPO0466
CP000031.2	474743	475453	-		SPO0467
CP000031.2	475557	476012	+	phnG	SPO0468
CP000031.2	476009	476587	+	phnH	SPO0469
CP000031.2	476591	477682	+	phnI	SPO0470
CP000031.2	477762	478598	+	phnJ	SPO0471
CP000031.2	478684	479454	+	phnK	SPO0472
CP000031.2	479522	480205	+	phnL	SPO0473
CP000031.2	480202	480750	+	phnN	SPO0474
CP000031.2	480732	481415	-		SPO0475
CP000031.2	481469	482611	+	phnM	SPO0476
CP000031.2	482616	483182	-		SPO0477
CP000031.2	483205	483456	+		SPO0478
CP000031.2	483607	484674	+		SPO0479
CP000031.2	485387	485463	-		SPO_tRNA-Arg-2
CP000031.2	485499	485975	-		SPO0481
CP000031.2	485983	486294	-		SPO0482
CP000031.2	486480	487127	-		SPO0483
CP000031.2	487568	488410	+	rplB	SPO0484
CP000031.2	488414	488692	+	rpsS	SPO0485
CP000031.2	488696	489076	+	rplV	SPO0486
CP000031.2	489076	489783	+	rpsC	SPO0487
CP000031.2	489796	490209	+	rplP	SPO0488
CP000031.2	491490	492839	-		SPO0489
CP000031.2	493432	494433	+		SPO0490
CP000031.2	494499	495119	+		SPO0491
CP000031.2	495167	495532	+		SPO0491a
CP000031.2	495649	496491	+		SPO0492
CP000031.2	496675	496875	+	rpmC	SPO0493
CP000031.2	496888	497118	+	rpsQ	SPO0494
CP000031.2	497221	497589	+	rplN	SPO0495
CP000031.2	497592	497903	+	rplX	SPO0496
CP000031.2	497896	498456	+	rplE	SPO0497
CP000031.2	498474	498779	+	rpsN	SPO0498
CP000031.2	498792	499184	+	rpsH	SPO0499
CP000031.2	499197	499730	+	rplF	SPO0500
CP000031.2	499742	500101	+	rplR	SPO0501
CP000031.2	500214	500786	+	rpsE	SPO0502
CP000031.2	500799	500987	+	rpmD	SPO0503
CP000031.2	501090	501713	+		SPO0504
CP000031.2	501740	502174	+		SPO0504a
CP000031.2	502959	503432	+	rplO	SPO0505
CP000031.2	503545	504912	+	secY	SPO0506
CP000031.2	504909	505550	+	adk-1	SPO0507
CP000031.2	505599	506672	+		SPO0508
CP000031.2	506867	507235	+	rpsM	SPO0509
CP000031.2	507251	507643	+	rpsK	SPO0510
CP000031.2	507760	508776	+	rpoA	SPO0511
CP000031.2	508954	509376	+	rplQ	SPO0512
CP000031.2	509484	509891	+		SPO0513
CP000031.2	509955	511337	+		SPO0514
CP000031.2	511341	512657	+		SPO0515
CP000031.2	512820	513863	+	rluC	SPO0516
CP000031.2	513860	514531	+		SPO0517
CP000031.2	514528	515244	+		SPO0518
CP000031.2	515315	516457	+		SPO0519
CP000031.2	516592	517860	+		SPO0520
CP000031.2	517862	519175	+		SPO0521
CP000031.2	519186	519977	+		SPO0522
CP000031.2	520026	520535	-		SPO0523
CP000031.2	520532	521167	-		SPO0524
CP000031.2	521164	521958	-		SPO0525
CP000031.2	522016	522879	-	argB	SPO0526
CP000031.2	522955	523722	+		SPO0527
CP000031.2	523761	525158	-		SPO0528
CP000031.2	525224	525592	-		SPO0529
CP000031.2	525589	526242	-		SPO0530
CP000031.2	526239	526976	-		SPO0531
CP000031.2	526973	528802	-		SPO0532
CP000031.2	528927	530468	-		SPO0533
CP000031.2	530541	531425	-		SPO0534
CP000031.2	531470	532399	-		SPO0535
CP000031.2	532528	532785	-		SPO0536
CP000031.2	532846	533271	-		SPO0537
CP000031.2	533296	533445	-	rpmH	SPO0538
CP000031.2	533672	534469	+		SPO0539
CP000031.2	534469	535887	+		SPO0540
CP000031.2	535901	537286	+		SPO0541
CP000031.2	537350	537426	+		SPO_tRNA-Arg-3
CP000031.2	537802	539055	-		SPO0543
CP000031.2	539068	541503	-		SPO0544
CP000031.2	541827	544025	+	uvrB	SPO0545
CP000031.2	544149	544619	+		SPO0546
CP000031.2	544720	545253	-		SPO0547
CP000031.2	545461	545724	+		SPO0548
CP000031.2	545732	546238	-		SPO0549
CP000031.2	546205	546969	-		SPO0550
CP000031.2	546966	548105	-		SPO0551
CP000031.2	548102	548686	-		SPO0552
CP000031.2	548683	549762	-		SPO0553
CP000031.2	549765	551009	-		SPO0554
CP000031.2	551006	552220	-		SPO0555
CP000031.2	552230	553540	-		SPO0556
CP000031.2	553643	556090	+		SPO0557
CP000031.2	556181	557332	-		SPO0558
CP000031.2	557329	558357	-		SPO0559
CP000031.2	558370	560286	-		SPO0560
CP000031.2	560279	562051	-		SPO0561
CP000031.2	562275	562796	+		SPO0562
CP000031.2	562897	563526	+		SPO0563
CP000031.2	563718	566126	+		SPO0564
CP000031.2	566123	567646	+		SPO0565
CP000031.2	567709	568332	+		SPO0566
CP000031.2	568329	569633	+		SPO0567
CP000031.2	569855	573268	-		SPO0568
CP000031.2	573419	573877	+		SPO0569
CP000031.2	574059	576395	+		SPO0570
CP000031.2	576429	581300	+		SPO0571
CP000031.2	581383	583098	+		SPO0572
CP000031.2	583201	583596	-		SPO0573
CP000031.2	583706	586804	+		SPO0574
CP000031.2	586900	588057	-	acdA-1	SPO0575
CP000031.2	588054	588683	-		SPO0576
CP000031.2	588797	590560	+		SPO0577
CP000031.2	590573	592192	+		SPO0578
CP000031.2	592192	594174	+		SPO0579
CP000031.2	594171	595301	+		SPO0580
CP000031.2	595304	596095	+		SPO0581
CP000031.2	596200	597357	+	acdA-2	SPO0582
CP000031.2	597540	598421	-		SPO0583
CP000031.2	598519	599682	+	aspC-1	SPO0584
CP000031.2	599692	601914	+		SPO0585
CP000031.2	601911	602948	+		SPO0586
CP000031.2	602992	604269	+		SPO0587
CP000031.2	604263	605174	-		SPO0588
CP000031.2	605196	608468	+		SPO0589
CP000031.2	608478	609506	-	hpsR	SPO0590
CP000031.2	609872	611017	+	hpsK	SPO0591
CP000031.2	611097	611639	+	hpsL	SPO0592
CP000031.2	611650	612978	+	hpsM	SPO0593
CP000031.2	612991	614298	+	hpsN	SPO0594
CP000031.2	614291	615052	+	hpsO	SPO0595
CP000031.2	615049	616047	+	hpsP	SPO0596
CP000031.2	616051	616455	+	hpsQ	SPO0597
CP000031.2	616496	617611	+	slcD	SPO0598
CP000031.2	617618	618466	-	speB-1	SPO0599
CP000031.2	618463	619632	-	nspC	SPO0600
CP000031.2	619737	620948	-		SPO0601
CP000031.2	620974	622959	-	speA	SPO0602
CP000031.2	623032	623346	-		SPO0603
CP000031.2	623375	623752	-		SPO0604
CP000031.2	623755	624207	-		SPO0605
CP000031.2	624480	626168	+		SPO0606
CP000031.2	626168	627193	+		SPO0607
CP000031.2	627307	629085	+		SPO0608
CP000031.2	629200	630264	+		SPO0609
CP000031.2	630272	631357	+		SPO0610
CP000031.2	631354	632217	+		SPO0611
CP000031.2	632229	633026	+		SPO0612
CP000031.2	633026	633304	+		SPO0613
CP000031.2	633392	633787	+		SPO0614
CP000031.2	633777	634910	+		SPO0615
CP000031.2	634996	635988	+		SPO0616
