Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
phnK	BW25113_RS21280	4307823	4308581	ATP-binding cassette protein PhnK
araD	BW25113_RS00310	65855	66574	L-ribulose-5-phosphate 4-epimerase AraD
mgsA	BW25113_RS04995	1022013	1022471	methylglyoxal synthase
frvX	BW25113_RS20235	4083215	4084285	aminopeptidase
insL3	BW25113_RS12490	2507810	2508922	putative IS186/IS421 transposase
BW25113_RS16950	BW25113_RS16950	3412401	3413425	amino acid ABC transporter substrate-binding protein
fdrA	BW25113_RS02660	542136	543803	putative oxamate carbamoyltransferase FdrA
tadA	BW25113_RS13340	2690713	2691216	tRNA adenosine<sup>34</sup> deaminase
ynfF	BW25113_RS08310	1654813	1657236	putative selenate reductase YnfF
yihU	BW25113_RS20145	4066035	4066931	3-sulfolactaldehyde reductase
BW25113_RS23065	BW25113_RS23065	1092659	1092795	RtT sRNA
lsrR	BW25113_RS07925	1594545	1595498	DNA-binding transcriptional repressor LsrR
yjiN	BW25113_RS22585	4555783	4557063	DUF445 domain-containing protein
yncH	BW25113_RS07640	1521197	1521409	DUF5445 domain-containing protein YncH
BW25113_RS08185	BW25113_RS08185	1638563	1638841	hypothetical protein
gadA	BW25113_RS18230	3659540	3660940	glutamate decarboxylase A
leuS	BW25113_RS03335	667657	670239	leucine&mdash;tRNA ligase
yihA	BW25113_RS20050	4043493	4044125	GTP-binding protein YihA
yjdM	BW25113_RS21330	4316216	4316551	zinc ribbon domain-containing protein YjdM
uidA	BW25113_RS08460	1688517	1690328	&beta;-glucuronidase
hdfR	BW25113_RS19550	3940488	3941327	DNA-binding transcriptional dual regulator HdfR
dmsA	BW25113_RS04640	936415	938859	dimethyl sulfoxide reductase subunit A
rnk	BW25113_RS03175	639013	639423	nucleoside diphosphate kinase regulator
rlmL	BW25113_RS04915	1003300	1005408	fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase
nanT	BW25113_RS16715	3364443	3365933	<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter
yjjV	BW25113_RS22800	4603298	4604077	putative metal-dependent hydrolase YjjV
BW25113_RS23320	BW25113_RS23320	360355	360654	relaxase/mobilization nuclease domain-containing protein
fhuD	BW25113_RS00765	167062	167952	iron(III) hydroxamate ABC transporter periplasmic binding protein
yebQ	BW25113_RS09580	1904533	1905906	putative transporter YebQ
yaiL	BW25113_RS01830	372228	372767	DUF2058 domain-containing protein YaiL
pyrS	BW25113_RS12420	2492150	2493847	sensor histidine kinase PyrS
lgt	BW25113_RS14705	2958521	2959396	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
yjgM	BW25113_RS22095	4468851	4469354	putative <i>N</i>-acetyltransferase YjgM
hypF	BW25113_RS14115	2828532	2830784	carbamoyl--[HypE] ligase
nuoK	BW25113_RS11905	2388522	2388824	NADH:quinone oxidoreductase subunit K
ylaC	BW25113_RS02365	474237	474707	putative inner membrane protein
msyB	BW25113_RS05480	1109263	1109637	acidic protein MsyB
lpp	BW25113_RS08775	1751678	1751914	murein lipoprotein
fau	BW25113_RS15135	3049546	3050148	5-formyltetrahydrofolate cyclo-ligase
ompC	BW25113_RS25655	2027532	2028724	porin OmpC
rpsF	BW25113_RS21825	4414935	4415330	30S ribosomal protein S6
yqjD	BW25113_RS16090	3242734	3243039	ribosome- and membrane-associated DUF883 domain-containing protein YqjD
ylbG	BW25113_RS02585	525107	525472	helix-turn-helix domain-containing protein
yafW	BW25113_RS01245	259401	259718	antitoxin of the YkfI-YafW toxin-antitoxin pair
BW25113_RS10605	BW25113_RS10605	2095376	2096392	IS5-like element IS5 family transposase
dgoK	BW25113_RS19200	3866956	3867834	2-dehydro-3-deoxygalactonokinase
ynbG	BW25113_RS25580	1459422	1459487	uncharacterized protein YnbG
BW25113_RS10425	BW25113_RS10425	2062433	2063661	IS3-like element IS2 family transposase
ybhS	BW25113_RS04120	821575	822708	ABC exporter membrane subunit YbhS
ompA	BW25113_RS04960	1014469	1015509	outer membrane protein A
ybjC	BW25113_RS04410	886369	886656	DUF1418 domain-containing protein YbjC
miaA	BW25113_RS21675	4389069	4390019	tRNA dimethylallyltransferase
fliC	BW25113_RS10065	1995591	1997087	flagellar filament structural protein
queA	BW25113_RS02095	420467	421537	tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase
mdtE	BW25113_RS18210	3652592	3653749	multidrug efflux pump membrane fusion protein MdtE
BW25113_RS20970	BW25113_RS20970	4240631	4242211	SopA family protein
hyfC	BW25113_RS12955	2597206	2598153	hydrogenase 4 component C
yaiY	BW25113_RS01960	394481	394789	DUF2755 domain-containing inner membrane protein YaiY
BW25113_RS25445	BW25113_RS25445	313150	313278	aldo/keto reductase
dpiB	BW25113_RS03220	647691	649349	sensor histidine kinase DpiB
def	BW25113_RS17040	3427049	3427558	peptide deformylase
pstA	BW25113_RS19370	3901909	3902799	phosphate ABC transporter membrane subunit PstA
dinG	BW25113_RS04150	828526	830676	ATP-dependent DNA helicase DinG
ygaP	BW25113_RS13890	2790879	2791403	thiosulfate sulfurtransferase YgaP
puuP	BW25113_RS06795	1352059	1353444	putrescine:H+ symporter PuuP
yrdD	BW25113_RS17025	3424779	3425321	putative DNA topoisomerase
ydcY	BW25113_RS07595	1511905	1512138	DUF2526 domain-containing protein YdcY
yeeT	BW25113_RS10460	2070298	2070519	CP4-44 prophage; DUF987 domain-containing protein YeeT
focA	BW25113_RS25515	949065	949922	formate channel FocA
BW25113_RS25420	BW25113_RS25420	235587	235865	ISAs1 family transposase
yidE	BW25113_RS19155	3857972	3859633	putative transporter
entA	BW25113_RS03100	624007	624753	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
motA	BW25113_RS09905	1970509	1971396	motility protein A
patZ	BW25113_RS13495	2713312	2715972	peptidyl-lysine <i>N</i>-acetyltransferase
rsmB	BW25113_RS17050	3428566	3429855	16S rRNA m<sup>5</sup>C967 methyltransferase
ppnP	BW25113_RS02030	403633	403917	nucleoside phosphorylase PpnP
rrrQ	BW25113_RS08150	1633781	1634314	Qin prophage; putative lysozyme
yidZ	BW25113_RS19295	3886125	3887084	DNA-binding transcriptional dual regulator YidZ
ppsR	BW25113_RS08915	1781702	1782535	phosphoenolpyruvate synthetase regulatory protein
panE	BW25113_RS02200	439060	439971	2-dehydropantoate 2-reductase
srsR	BW25113_RS15180	3059636	3060532	DNA-binding transcriptional activator YgfI
potH	BW25113_RS04445	891590	892543	putrescine ABC transporter membrane subunit PotH
mpaA	BW25113_RS06945	1384127	1384855	murein tripeptide amidase A
nuoH	BW25113_RS11920	2389944	2390921	NADH:quinone oxidoreductase subunit H
yabI	BW25113_RS00320	67838	68602	DedA family protein YabI
aroF	BW25113_RS13580	2733439	2734509	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive
zntR	BW25113_RS17070	3432064	3432489	DNA-binding transcriptional activator ZntR
sdhE	BW25113_RS15065	3034163	3034429	FAD assembly factor
yqfI	BW25113_RS25745	3044317	3044400	protein YqfI
bcp	BW25113_RS12940	2593837	2594307	thiol peroxidase
hdeA	BW25113_RS18190	3649768	3650100	periplasmic acid stress chaperone HdeA
dsbC	BW25113_RS15045	3031471	3032181	protein disulfide isomerase DsbC
proX	BW25113_RS13945	2800491	2801483	glycine betaine ABC transporter periplasmic binding protein ProX
pth	BW25113_RS06270	1253385	1253969	peptidyl-tRNA hydrolase
BW25113_RS23060	BW25113_RS23060	777139	777264	RtT sRNA
ybjJ	BW25113_RS04385	881587	882795	inner membrane protein YbjJ
yfjX	BW25113_RS13775	2769278	2769736	CP4-57 prophage; putative antirestriction protein YfjX
clcA	BW25113_RS00780	171594	173015	chloride:H<sup>+</sup> antiporter ClcA
BW25113_RS02765	BW25113_RS02765	561832	562143	Replication protein P
frvA	BW25113_RS20245	4085737	4086183	putative PTS enzyme IIA component FrvA
dgcQ	BW25113_RS10220	2019804	2021498	diguanylate cyclase DgcQ
iadA	BW25113_RS22540	4548171	4549343	isoaspartyl dipeptidase
BW25113_RS12525	BW25113_RS12525	2514410	2514485	tRNA-Val
cmoM	BW25113_RS04775	968993	969778	tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase
creC	BW25113_RS22915	4626513	4627937	sensory histidine kinase CreC
rhaD	BW25113_RS20255	4086808	4087350	rhamnulose-1-phosphate aldolase
sdaB	BW25113_RS14550	2922935	2924302	L-serine deaminase II
bioD	BW25113_RS04040	807726	808403	dethiobiotin synthetase
ymgA	BW25113_RS06050	1211524	1211796	putative two-component system connector protein YmgA
matP	BW25113_RS04955	1013941	1014393	macrodomain Ter protein
ugpB	BW25113_RS17870	3584369	3585685	<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein
yfaZ	BW25113_RS11755	2357212	2357754	putative porin YfaZ
upp	BW25113_RS13030	2613605	2614231	uracil phosphoribosyltransferase
holA	BW25113_RS03325	666030	667061	DNA polymerase III subunit &delta;
ypjF	BW25113_RS13790	2770812	2771141	type IV toxin-antitoxin system toxin YpjF
yccS	BW25113_RS04980	1017186	1019348	putative transporter YccS
yeiP	BW25113_RS11335	2258929	2259501	elongation factor P-like protein YeiP
yghF	BW25113_RS15425	3105413	3106408	putative type II secretion system C-type protein YghF
ybgC	BW25113_RS03820	770208	770612	esterase/thioesterase
etk	BW25113_RS05095	1037486	1039666	protein-tyrosine kinase Etk
yeeS	BW25113_RS25165	2069789	2070235	CP4-44 prophage; RadC-like JAB domain-containing protein YeeS
emrE	BW25113_RS02790	563771	564103	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE
yrbL	BW25113_RS16620	3341811	3342443	protein kinase-like domain-containing protein YrbL
dhaR	BW25113_RS06250	1246522	1248441	DNA-binding transcriptional dual regulator DhaR
rayT	BW25113_RS01155	244124	244621	REP-associated tyrosine transposase
opgG	BW25113_RS05465	1104791	1106326	osmoregulated periplasmic glucans biosynthesis protein G
coaD	BW25113_RS18870	3803185	3803664	pantetheine-phosphate adenylyltransferase
pheT	BW25113_RS08965	1789814	1792201	phenylalanine&mdash;tRNA ligase subunit &beta;
ratA	BW25113_RS13670	2747647	2748084	ribosome association toxin RatA
yeiQ	BW25113_RS11340	2259724	2261190	putative oxidoreductase YeiQ
yidD	BW25113_RS19260	3878176	3878433	membrane protein insertion efficiency factor
sbcC	BW25113_RS02055	408063	411209	ATP-dependent structure-specific DNA nuclease - SbcC subunit
yahE	BW25113_RS01645	331636	332499	DUF2877 domain-containing protein YahE
tatA	BW25113_RS19915	4015305	4015574	twin arginine protein translocation system - TatA protein
BW25113_RS06950	BW25113_RS06950	1384982	1385119	NAD-dependent dehydratase
fimB	BW25113_RS22430	4530774	4531376	Type 1 fimbriae regulatory protein FimB
spy	BW25113_RS09120	1819397	1819882	ATP-independent periplasmic chaperone
rutE	BW25113_RS05245	1065821	1066411	probable malonic semialdehyde reductase
yadH	BW25113_RS00640	140189	140959	putative ABC transporter membrane subunit YadH
yagF	BW25113_RS01380	278912	280879	CP4-6 prophage; D-xylonate dehydratase
caiC	BW25113_RS00195	36271	37824	carnitine&mdash;CoA ligase
avtA	BW25113_RS18540	3733065	3734318	valine&mdash;pyruvate aminotransferase
ynaA	BW25113_RS07170	1420711	1421643	phage tail length tape measure family protein
yeeZ	BW25113_RS10535	2081785	2082609	putative epimerase YeeZ
prpB	BW25113_RS01705	344393	345283	2-methylisocitrate lyase
rpsL	BW25113_RS17320	3467537	3467911	30S ribosomal protein S12
sgrT	BW25113_RS00345	73875	74006	PtsG glucose transporter inhibitor
glpT	BW25113_RS11700	2344495	2345853	sn-glycerol 3-phosphate:phosphate antiporter
BW25113_RS05980	BW25113_RS05980	1201587	1202378	baseplate J/gp47 family protein
yqjC	BW25113_RS16085	3242328	3242696	DUF1090 domain-containing protein YqjC
yiaN	BW25113_RS18575	3738164	3739441	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit
yidG	BW25113_RS19105	3848968	3849330	inner membrane protein YidG
yciT	BW25113_RS06715	1337854	1338603	DNA-binding transcriptional dual regulator YciT
dusB	BW25113_RS16905	3403639	3404604	tRNA-dihydrouridine synthase B
BW25113_RS14020	BW25113_RS14020	2811832	2811908	tRNA-Arg
BW25113_RS19985	BW25113_RS19985	4030501	4030577	tRNA-Ile
ydaT	BW25113_RS07125	1414941	1415363	Rac prophage; putative transcriptional regulator YdaT
decR	BW25113_RS02315	463839	464297	DNA-binding transcriptional activator DecR
rutB	BW25113_RS05260	1067627	1068319	ureidoacrylate amidohydrolase
yoeB	BW25113_RS10540	2082692	2082946	ribosome-dependent mRNA interferase toxin YoeB
moaE	BW25113_RS04080	814751	815203	molybdopterin synthase catalytic subunit
mtfA	BW25113_RS10325	2037132	2037929	Mlc titration factor
yfeH	BW25113_RS12570	2520305	2521303	putative solute:Na<sup>+</sup> symporter
narP	BW25113_RS11445	2283979	2284626	DNA-binding transcriptional dual regulator NarP
yibI	BW25113_RS18685	3764742	3765104	DUF3302 domain-containing protein YibI
cbl	BW25113_RS10375	2053445	2054395	DNA-binding transcriptional activator Cbl
betA	BW25113_RS01600	321288	322958	choline dehydrogenase
yjhU	BW25113_RS22310	4509155	4510141	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU
atpA	BW25113_RS19410	3911676	3913217	ATP synthase F<sub>1</sub> complex subunit &alpha;
yheO	BW25113_RS17340	3469077	3469799	DNA-binding transcriptional regulator YheO
rseB	BW25113_RS13415	2701157	2702113	anti-sigma factor stabilizing protein RseB
dosC	BW25113_RS07810	1560015	1561397	diguanylate cyclase DosC
secB	BW25113_RS18745	3777021	3777488	protein export chaperone SecB
citF	BW25113_RS03200	643495	645027	citrate lyase &alpha; subunit
galR	BW25113_RS14760	2969958	2970989	DNA-binding transcriptional dual regulator GalR
php	BW25113_RS17510	3501071	3501949	putative hydrolase
yqiJ	BW25113_RS15830	3185567	3186196	DUF1449 domain-containing inner membrane protein YqiJ
sgcX	BW25113_RS22370	4520347	4521468	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain
ydfV	BW25113_RS23835	1640154	1640459	Qin prophage; protein YdfV
ydhS	BW25113_RS08730	1741388	1742992	FAD/NAD(P) binding domain-containing protein YdhS
rlmB	BW25113_RS21720	4399092	4399823	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase
aspA	BW25113_RS21505	4356708	4358144	aspartate ammonia-lyase
xdhC	BW25113_RS14915	2996848	2997327	putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC
yihM	BW25113_RS20100	4054525	4055505	putative TIM barrel domain-containing protein YihM
panF	BW25113_RS16895	3400966	3402417	pantothenate:Na+ symporter
BW25113_RS25685	BW25113_RS25685	2463976	2464257	hypothetical protein
modB	BW25113_RS03970	791318	792007	molybdate ABC transporter membrane subunit
xylB	BW25113_RS18500	3721277	3722731	xylulokinase
ygiD	BW25113_RS15770	3174978	3175766	4,5-DOPA dioxygenase extradiol
yggP	BW25113_RS15230	3069538	3070815	putative zinc-binding dehydrogenase YggP
yffL	BW25113_RS12740	2553616	2554257	CPZ-55 prophage; uncharacterized protein YffL
yqeG	BW25113_RS14800	2979206	2980435	putative transporter YqeG
cra	BW25113_RS00400	84515	85519	DNA-binding transcriptional dual regulator Cra
atoD	BW25113_RS11600	2316926	2317588	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;
kdsA	BW25113_RS06325	1263621	1264475	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase
ybiV	BW25113_RS04270	854669	855484	sugar phosphatase YbiV
yggX	BW25113_RS15385	3097452	3097727	putative Fe<sup>2+</sup>-trafficking protein
yiaY	BW25113_RS18635	3750036	3751187	L-threonine dehydrogenase
yeaC	BW25113_RS09300	1855959	1856231	DUF1315 domain-containing protein YeaC
infB	BW25113_RS16425	3306701	3309373	translation initiation factor IF-2
hemD	BW25113_RS19755	3982448	3983188	uroporphyrinogen-III synthase
yegJ	BW25113_RS10815	2144666	2145127	DUF2314 domain-containing protein YegJ
ygjK	BW25113_RS15995	3222247	3224598	glycoside hydrolase
BW25113_RS14015	BW25113_RS14015	2811557	2811633	tRNA-Arg
dsrB	BW25113_RS10205	2018116	2018304	protein DsrB
ccmH	BW25113_RS11450	2284837	2285889	holocytochrome <I>c</I> synthase CcmH component
raiA	BW25113_RS13565	2730513	2730854	ribosome-associated inhibitor A
argA	BW25113_RS14655	2942601	2943932	N-acetylglutamate synthase
yqeL	BW25113_RS25245	2983178	2983258	uncharacterized protein YqeL
cadB	BW25113_RS21470	4348514	4349848	lysine:cadaverine antiporter
sufS	BW25113_RS08790	1753560	1754780	L-cysteine desulfurase
hslR	BW25113_RS17615	3522707	3523108	heat shock protein Hsp15
yijO	BW25113_RS20515	4137394	4138245	putative DNA-binding transcriptional regulator YijO
bcsE	BW25113_RS18330	3689818	3691389	c-di-GMP-binding protein BcsE
sutR	BW25113_RS07530	1500429	1500965	DNA-binding transcriptional dual regulator SutR
gpmA	BW25113_RS03920	782299	783051	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
yfdV	BW25113_RS12375	2482721	2483665	transporter YfdV
ppx	BW25113_RS13050	2618474	2620015	exopolyphosphatase
prfB	BW25113_RS15035	3028543	3029641	peptide chain release factor RF2
BW25113_RS05040	BW25113_RS05040	1027081	1027168	tRNA-Ser
afuC	BW25113_RS01340	273467	274513	CP4-6 prophage; ABC transporter ATP-binding protein AfuC
ygiF	BW25113_RS15860	3193023	3194324	inorganic triphosphatase
dnaC	BW25113_RS22705	4590055	4590792	DNA replication protein DnaC
BW25113_RS01550	BW25113_RS01550	312194	312847	helix-turn-helix domain-containing protein
zapB	BW25113_RS20380	4108443	4108688	cell division factor ZapB
BW25113_RS22745	BW25113_RS22745	4595896	4595982	tRNA-Leu
bglX	BW25113_RS11125	2213171	2215468	putative periplasmic glycoside hydrolase
sanA	BW25113_RS11185	2226357	2227076	DUF218 domain-containing protein SanA
gsk	BW25113_RS02465	495581	496885	inosine/guanosine kinase
tamB	BW25113_RS21935	4433929	4437708	translocation and assembly module subunit TamB
gmhA	BW25113_RS01125	240030	240608	D-sedoheptulose 7-phosphate isomerase
waaZ	BW25113_RS18820	3792705	3793556	lipopolysaccharide core biosynthesis protein WaaZ
rcbA	BW25113_RS07075	1407788	1407997	Rac prophage; double-strand break reduction protein
BW25113_RS23095	BW25113_RS23095	1282522	1282653	RtT sRNA
fdx	BW25113_RS13170	2650107	2650442	reduced ferredoxin
yghS	BW25113_RS15505	3126603	3127316	putative ATP-binding protein YghS
nadD	BW25113_RS03320	665387	666028	nicotinate-nucleotide adenylyltransferase
htpG	BW25113_RS02445	490576	492450	chaperone protein HtpG
lpoB	BW25113_RS05750	1158094	1158735	outer membrane lipoprotein - activator of MrcB activity
yfeN	BW25113_RS12560	2518486	2519250	putative outer membrane porin YfeN
gltI	BW25113_RS03400	682295	683203	glutamate/aspartate ABC transporter periplasmic binding protein
mqsA	BW25113_RS15680	3161210	3161605	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA
murC	BW25113_RS00455	97252	98727	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase
kbl	BW25113_RS18785	3784715	3785911	2-amino-3-ketobutyrate CoA ligase
ygiC	BW25113_RS15765	3173780	3174940	peptide&mdash;spermidine ligase YgiC
pal	BW25113_RS03845	774523	775044	peptidoglycan-associated outer membrane lipoprotein Pal
yfjY	BW25113_RS13780	2769745	2770227	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY
narH	BW25113_RS07695	1531566	1533110	nitrate reductase Z subunit &beta;
eutJ	BW25113_RS12795	2562860	2563696	putative ethanolamine utilization chaperonin EutJ
rraA	BW25113_RS20385	4108773	4109258	ribonuclease E inhibitor protein A
pdxJ	BW25113_RS13380	2694357	2695088	pyridoxine 5'-phosphate synthase
tpiA	BW25113_RS20335	4100668	4101435	triose-phosphate isomerase
yqgC	BW25113_RS25875	3079546	3079761	protein YqgC
pspB	BW25113_RS06840	1363058	1363282	phage shock protein B
ghrA	BW25113_RS05375	1093342	1094280	glyoxylate/hydroxypyruvate reductase A
yfjR	BW25113_RS13740	2763062	2763763	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR
tnaC	BW25113_RS19275	3881795	3881869	<i>tnaAB</i> operon leader peptide
yedK	BW25113_RS10105	2003302	2003970	genome maintenance protein
BW25113_RS25135	BW25113_RS25135	2004829	2005020	hypothetical protein
ydiH	BW25113_RS08815	1759191	1759379	uncharacterized protein YdiH
ada	BW25113_RS11550	2302820	2303884	DNA-binding transcriptional dual regulator / DNA repair protein Ada
fkpA	BW25113_RS17345	3469966	3470778	peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA
treB	BW25113_RS22020	4454576	4455997	trehalose-specific PTS enzyme IIBC component
feaB	BW25113_RS07270	1441776	1443275	phenylacetaldehyde dehydrogenase
hybA	BW25113_RS15560	3137513	3138499	hydrogenase 2 iron-sulfur protein
napA	BW25113_RS11510	2293746	2296232	periplasmic nitrate reductase subunit NapA
sufE	BW25113_RS08785	1753131	1753547	sulfur carrier protein SufE
dgcF	BW25113_RS07980	1605164	1606150	GGDEF domain-containing protein
yqgE	BW25113_RS15310	3086296	3086859	DUF179 domain-containing protein YqgE
ygbI	BW25113_RS14235	2853826	2854593	DNA-binding transcriptional repressor YgbI
tcyP	BW25113_RS09045	1805191	1806582	cystine/sulfocysteine:cation symporter
pepE	BW25113_RS20860	4219381	4220070	peptidase E
BW25113_RS11435	BW25113_RS11435	2282544	2283560	IS5-like element IS5 family transposase
nhaB	BW25113_RS06175	1228632	1230173	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB
degQ	BW25113_RS16765	3374102	3375469	periplasmic serine endoprotease
potE	BW25113_RS03575	712402	713721	putrescine transporter PotE
ompN	BW25113_RS07225	1430017	1431150	outer membrane porin N
cadC	BW25113_RS21475	4350213	4351751	DNA-binding transcriptional activator CadC
narZ	BW25113_RS07700	1533107	1536847	nitrate reductase Z subunit &alpha;
csgE	BW25113_RS05405	1097608	1097997	curli assembly component CsgE
xisE	BW25113_RS05935	1196243	1196488	e14 prophage; putative excisionase
ilvX	BW25113_RS25785	3943867	3943917	uncharacterized protein IlvX
tqsA	BW25113_RS08380	1668170	1669204	autoinducer 2 exporter
BW25113_RS19540	BW25113_RS19540	3940232	3940308	tRNA-Asp
bolA	BW25113_RS02250	449928	450245	DNA-binding transcriptional dual regulator BolA
mhpC	BW25113_RS01795	365472	365993	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase
ubiG	BW25113_RS11655	2333046	2333768	bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase
nrfD	BW25113_RS21150	4280404	4281360	cytochrome c nitrite reductase subunit NrfD
yihI	BW25113_RS20055	4044707	4045216	Der GTPase-activating protein YihI
uvrA	BW25113_RS21075	4260977	4263799	UvrABC excision nuclease subunit A
BW25113_RS22615	BW25113_RS22615	4563736	4566672	hypothetical protein
secD	BW25113_RS02110	423103	424950	Sec translocon accessory complex subunit SecD
nhoA	BW25113_RS07675	1528281	1529126	arylamine <i>N</i>-acetyltransferase
napF	BW25113_RS11520	2296482	2296976	ferredoxin-type protein
yagU	BW25113_RS01475	298702	299316	DUF1440 domain-containing inner membrane protein YagU
eutE	BW25113_RS12800	2563707	2565110	acetaldehyde dehydrogenase (acetylating) EutE
mdtK	BW25113_RS08705	1737714	1739087	multidrug efflux pump MdtK
clsB	BW25113_RS04100	817954	819195	cardiolipin synthase B
phnP	BW25113_RS21255	4304161	4304919	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase
ppsA	BW25113_RS08905	1778991	1781369	phosphoenolpyruvate synthetase
yhaJ	BW25113_RS16125	3246677	3247573	DNA-binding transcriptional activator YhaJ
