"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"51","lpxA","b0181",202560,203348,788,"essential","essential","essential","essential","essential","essential"
"52","lpxB","b0182",203348,204496,1148,"essential","essential","essential","essential","essential","essential"
"53","dnaE","b0184",205126,208608,3482,"essential","essential","essential","essential","essential","essential"
"54","accA","b0185",208621,209580,959,"essential","essential","essential","essential","essential","essential"
"55","tilS","b0188",212331,213629,1298,"essential","essential","essential","essential","essential","essential"
"56","proS","b0194",217057,218775,1718,"essential","essential","essential","essential","essential","essential"
"57","yafC","b0208",229967,230881,914,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"58","mltD","b0211",232597,233955,1358,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"59","dnaQ","b0215",236067,236798,731,"non-essential","essential","non-essential","essential","non-essential","essential"
"60","yafT","b0217",237335,238120,785,"essential","essential","non-essential","essential","non-essential","non-essential"
"61","ykfM","b4586",238257,238736,479,"essential","essential","essential","essential","essential","essential"
"62","yafU","b0218",238746,239084,338,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"63","lafU","b0230",250072,250827,755,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"64","argL","b4766",290275,290370,95,"non-essential","essential","essential","non-essential","essential","non-essential"
"65","yagL","b0278",293220,293918,698,"non-essential","essential","non-essential","essential","non-essential","essential"
"66","yagM","b0279",293945,294799,854,"essential","essential","non-essential","essential","non-essential","essential"
"67","ecpR","b0294",310746,311336,590,"non-essential","essential","non-essential","essential","non-essential","essential"
"68","ykgR","b4671",313141,313242,101,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"69","ykgQ","b4631",317439,317567,128,"non-essential","essential","non-essential","non-essential","essential","non-essential"
"70","rclC","b0301",317726,318319,593,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"71","rclB","b0303",318331,318567,236,"essential","essential","essential","essential","essential","essential"
"72","ykgH","b0310",324696,325364,668,"essential","essential","non-essential","essential","essential","essential"
"73","yahV","b4730",331802,331876,74,"non-essential","essential","essential","non-essential","essential","non-essential"
"74","yahF","b0320",336778,338325,1547,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"75","yahL","b0326",344176,344991,815,"essential","non-essential","non-essential","non-essential","non-essential","essential"
"76","hemB","b0369",388753,389727,974,"essential","essential","essential","essential","essential","essential"
"77","secD","b0408",427647,429494,1847,"essential","essential","essential","essential","essential","essential"
"78","secF","b0409",429505,430476,971,"essential","essential","essential","essential","essential","essential"
"79","ribD","b0414",433455,434558,1103,"essential","essential","essential","essential","essential","essential"
"80","ribE","b0415",434647,435117,470,"essential","essential","essential","essential","essential","essential"
"81","nusB","b0416",435137,435556,419,"essential","non-essential","non-essential","non-essential","non-essential","non-essential"
"82","thiL","b0417",435634,436611,977,"essential","essential","essential","essential","essential","essential"
"83","dxs","b0420",438315,440177,1862,"essential","essential","essential","essential","essential","essential"
"84","ispA","b0421",440202,441101,899,"essential","essential","essential","essential","essential","essential"
"85","xseB","b0422",441101,441343,242,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"86","ffs","b0455",476448,476561,113,"non-essential","essential","non-essential","non-essential","essential","non-essential"
"87","dnaX","b0470",492092,494023,1931,"essential","essential","essential","essential","essential","essential"
"88","dnaX","b0470",492092,493386,1294,"essential","essential","essential","essential","essential","essential"
"89","adk","b0474",497175,497819,644,"essential","essential","essential","essential","essential","essential"
"90","hemH","b0475",498055,499017,962,"essential","essential","essential","essential","essential","essential"
"91","ushA","b0480",504914,506566,1652,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"92","qmcA","b0489",514856,515773,917,"non-essential","essential","non-essential","essential","non-essential","essential"
"93","ybbC","b0498",527581,527949,368,"essential","essential","essential","essential","essential","essential"
"94","ylbH","b0499",527949,528659,710,"non-essential","essential","non-essential","essential","non-essential","essential"
"95","ybbD","b0501",528640,529130,490,"non-essential","essential","non-essential","essential","non-essential","essential"
"96","hyi","b0508",535710,536486,776,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"97","ybbW","b0511",537633,539087,1454,"non-essential","essential","non-essential","essential","non-essential","essential"
"98","lpxH","b0524",553218,553940,722,"essential","essential","essential","essential","essential","essential"
"99","ppiB","b0525",553943,554437,494,"essential","essential","non-essential","essential","essential","essential"
"100","cysS","b0526",554611,555996,1385,"essential","essential","essential","essential","essential","essential"
"101","folD","b0529",556875,557741,866,"essential","essential","essential","essential","essential","essential"
"102","sfmA","b0530",558212,558754,542,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"103","sfmC","b0531",558974,559666,692,"non-essential","essential","non-essential","essential","non-essential","essential"
"104","sfmH","b0533",562336,563319,983,"non-essential","essential","non-essential","essential","non-essential","essential"
"105","fimZ","b0535",563848,564480,632,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"106","argU","b0536",564723,564799,76,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"107","ybcK","b0544",568902,570428,1526,"essential","essential","non-essential","essential","essential","essential"
"108","ybcM","b0546",571454,572251,797,"non-essential","essential","non-essential","essential","non-essential","essential"
"109","ybcV","b0558",579184,579594,410,"essential","essential","non-essential","essential","essential","essential"
"110","appY","b0564",583681,584430,749,"essential","essential","non-essential","essential","essential","essential"
"111","ybdO","b0603",636716,637618,902,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"112","dcuC","b0621",654583,655968,1385,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"113","lipA","b0628",659251,660216,965,"essential","non-essential","non-essential","non-essential","non-essential","non-essential"
"114","mrdB","b0634",665201,666313,1112,"essential","essential","essential","essential","essential","essential"
"115","mrdA","b0635",666316,668217,1901,"essential","essential","essential","essential","essential","essential"
"116","rlmH","b0636",668248,668715,467,"non-essential","essential","non-essential","essential","non-essential","essential"
"117","nadD","b0639",669931,670572,641,"essential","essential","essential","essential","essential","essential"
"118","holA","b0640",670574,671605,1031,"essential","essential","essential","essential","essential","essential"
"119","lptE","b0641",671605,672186,581,"essential","essential","essential","essential","essential","essential"
"120","leuS","b0642",672201,674783,2582,"essential","essential","essential","essential","essential","essential"
"121","lnt","b0657",689343,690881,1538,"essential","essential","essential","essential","essential","essential"
"122","glnU","b0670",696865,696939,74,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"123","leuW","b0672",696963,697047,84,"non-essential","essential","essential","non-essential","essential","non-essential"
"124","glnS","b0680",706093,707757,1664,"essential","essential","essential","essential","essential","essential"
"125","fldA","b0684",710935,711465,530,"essential","essential","essential","essential","essential","essential"
"126","seqA","b0687",712987,713532,545,"essential","essential","essential","essential","essential","essential"
"127","speFL","b4803",720718,720822,104,"non-essential","essential","essential","non-essential","essential","essential"
"128","ybfB","b0702",733776,734102,326,"non-essential","essential","non-essential","essential","non-essential","non-essential"
"129","ybfC","b0704",735650,736219,569,"essential","essential","non-essential","essential","essential","essential"
"130","ybfQ","b4514",736445,736699,254,"non-essential","essential","non-essential","essential","non-essential","non-essential"
"131","sucA","b0726",758706,761507,2801,"essential","essential","non-essential","essential","essential","essential"
"132","sucB","b0727",761522,762739,1217,"essential","essential","non-essential","essential","essential","essential"
"133","cydA","b0733",771458,773026,1568,"essential","essential","non-essential","essential","non-essential","essential"
"134","cydB","b0734",773042,774181,1139,"essential","essential","non-essential","essential","non-essential","essential"
"135","ybhD","b0768",799622,800575,953,"non-essential","essential","non-essential","essential","non-essential","essential"
"136","yliM","b4736",850332,850397,65,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"137","pdeI","b0833",872979,875327,2348,"non-essential","essential","non-essential","essential","non-essential","essential"
"138","infA","b0884",926225,926443,218,"essential","essential","non-essential","essential","essential","essential"
"139","cydC","b0886",927474,929195,1721,"essential","essential","non-essential","essential","essential","essential"
"140","cydD","b0887",929196,930962,1766,"essential","essential","non-essential","essential","essential","essential"
"141","ftsK","b0890",933224,937213,3989,"non-essential","essential","non-essential","essential","non-essential","essential"
"142","lolA","b0891",937372,937983,611,"essential","essential","essential","essential","essential","essential"
"143","serS","b0893",939428,940720,1292,"essential","essential","essential","essential","essential","essential"
"144","cmk","b0910",961201,961884,683,"essential","essential","essential","essential","essential","essential"
"145","rpsA","b0911",961995,963668,1673,"essential","essential","non-essential","essential","essential","essential"
"146","msbA","b0914",966621,968369,1748,"essential","essential","essential","essential","essential","essential"
"147","lpxK","b0915",968366,969352,986,"essential","essential","essential","essential","essential","essential"
"148","ycaR","b0917",970673,970855,182,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"149","kdsB","b0918",970852,971598,746,"essential","essential","essential","essential","essential","essential"
"150","mukF","b0922",974319,975641,1322,"essential","essential","essential","essential","essential","essential"
"151","mukE","b0923",975622,976326,704,"essential","essential","essential","essential","essential","essential"
"152","mukB","b0924",976326,980786,4460,"essential","essential","essential","essential","essential","essential"
"153","asnS","b0930",987585,988985,1400,"essential","essential","essential","essential","essential","essential"
"154","elfA","b0938",997868,998407,539,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"155","pqiA","b0950",1012001,1013254,1253,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"156","fabA","b0954",1015952,1016470,518,"essential","essential","essential","essential","essential","essential"
"157","serT","b0971",1031625,1031712,87,"non-essential","essential","essential","non-essential","essential","essential"
"158","appX","b4592",1040445,1040537,92,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"159","torS","b0993",1053434,1056178,2744,"non-essential","essential","non-essential","essential","non-essential","essential"
"160","yccE","b1001",1064036,1065292,1256,"essential","essential","essential","essential","essential","essential"
"161","rutF","b1007",1069860,1070354,494,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"162","rutC","b1010",1071773,1072159,386,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"163","rutB","b1011",1072171,1072863,692,"essential","essential","non-essential","essential","non-essential","essential"
"164","ymdG","b4737",1079120,1079146,26,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"165","pgaC","b1022",1086521,1087846,1325,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"166","pgaB","b1023",1087839,1089857,2018,"non-essential","essential","non-essential","essential","non-essential","essential"
"167","dgcT","b1025",1092876,1094234,1358,"essential","essential","non-essential","essential","non-essential","essential"
"168","ycdU","b1029",1095843,1096829,986,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"169","ghrA","b1033",1097886,1098824,938,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"170","csgD","b1040",1102546,1103196,650,"essential","essential","essential","essential","essential","essential"
"171","csgB","b1041",1103951,1104406,455,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"172","opgH","b1049",1110863,1113406,2543,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"173","lpxL","b1054",1115662,1116582,920,"essential","essential","essential","essential","essential","essential"
"174","yceO","b1058",1119307,1119447,140,"non-essential","essential","non-essential","non-essential","essential","non-essential"
"175","murJ","b1069",1127839,1129374,1535,"essential","essential","essential","essential","essential","essential"
"176","flgJ","b1081",1137371,1138312,941,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"177","flgK","b1082",1138378,1140021,1643,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"178","rne","b1084",1141182,1144367,3185,"essential","essential","non-essential","essential","non-essential","essential"
"179","fabH","b1091",1148759,1149712,953,"essential","essential","essential","essential","essential","essential"
"180","fabD","b1092",1149728,1150657,929,"essential","essential","essential","essential","essential","essential"
"181","fabG","b1093",1150670,1151404,734,"essential","essential","essential","essential","essential","essential"
"182","acpP","b1094",1151615,1151851,236,"essential","essential","essential","essential","essential","essential"
"183","tmk","b1098",1155124,1155765,641,"essential","essential","essential","essential","essential","essential"
"184","holB","b1099",1155762,1156766,1004,"essential","essential","essential","essential","essential","essential"
"185","ndh","b1109",1166085,1167389,1304,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"186","lolC","b1116",1175427,1176626,1199,"essential","essential","essential","essential","essential","essential"
"187","lolD","b1117",1176619,1177320,701,"essential","essential","essential","essential","essential","essential"
"188","lolE","b1118",1177320,1178564,1244,"essential","essential","essential","essential","essential","essential"
"189","ycfZ","b1121",1180479,1181267,788,"essential","essential","non-essential","essential","non-essential","essential"
"190","ymfA","b1122",1181264,1181725,461,"non-essential","essential","non-essential","essential","non-essential","essential"
"191","potD","b1123",1181783,1182829,1046,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"192","potA","b1126",1184458,1185594,1136,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"193","purB","b1131",1190616,1191986,1370,"essential","essential","essential","essential","essential","essential"
"194","mnmA","b1133",1192667,1193773,1106,"essential","non-essential","non-essential","non-essential","non-essential","non-essential"
"195","icd","b1136",1195123,1196373,1250,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"196","ymfD","b1137",1196867,1197532,665,"essential","essential","essential","essential","essential","essential"
"197","ymfE","b1138",1197533,1198237,704,"essential","essential","non-essential","essential","essential","essential"
"198","lit","b1139",1198695,1199588,893,"essential","essential","non-essential","essential","non-essential","essential"
"199","ymfK","b1145",1202259,1202933,674,"essential","essential","essential","essential","essential","essential"
"200","tfaE","b1156",1208517,1209119,602,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"201","mcrA","b1159",1210346,1211179,833,"non-essential","essential","non-essential","essential","non-essential","essential"
"202","iraM","b1160",1211680,1212003,323,"essential","essential","non-essential","essential","essential","non-essential"
"203","ymgK","b4738",1212260,1212304,44,"non-essential","non-essential","essential","non-essential","essential","essential"
"204","ymgL","b4739",1212540,1212650,110,"non-essential","essential","essential","non-essential","essential","essential"
"205","ycgX","b1161",1212703,1213107,404,"non-essential","essential","non-essential","essential","non-essential","essential"
"206","bluF","b1163",1214264,1215475,1211,"essential","non-essential","non-essential","essential","non-essential","non-essential"
"207","ycgZ","b1164",1215789,1216025,236,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"208","ymgA","b1165",1216068,1216340,272,"essential","essential","essential","essential","essential","essential"
"209","ariR","b1166",1216369,1216635,266,"essential","essential","non-essential","non-essential","essential","essential"
"210","pdeG","b1168",1217328,1218851,1523,"essential","essential","non-essential","essential","non-essential","essential"
"211","ycgH","b4491",1219601,1222248,2647,"non-essential","essential","non-essential","essential","non-essential","essential"
"212","minE","b1174",1224279,1224545,266,"essential","essential","non-essential","essential","essential","essential"
"213","minD","b1175",1224549,1225361,812,"non-essential","essential","non-essential","essential","non-essential","essential"
"214","minC","b1176",1225385,1226080,695,"essential","non-essential","non-essential","non-essential","essential","essential"
"215","hlyE","b1182",1229483,1230394,911,"essential","essential","essential","essential","essential","essential"
"216","umuC","b1184",1231186,1232454,1268,"non-essential","essential","non-essential","essential","non-essential","essential"
"217","dsbB","b1185",1232500,1233030,530,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"218","ycgY","b1196",1245160,1245600,440,"non-essential","essential","non-essential","essential","non-essential","essential"
"219","pth","b1204",1257929,1258513,584,"essential","essential","essential","essential","essential","essential"
"220","prs","b1207",1260928,1261875,947,"essential","essential","essential","essential","essential","essential"
"221","ispE","b1208",1262026,1262877,851,"essential","essential","essential","essential","essential","essential"
"222","lolB","b1209",1262877,1263500,623,"essential","essential","essential","essential","essential","essential"
"223","hemA","b1210",1263714,1264970,1256,"essential","essential","essential","essential","essential","essential"
"224","prfA","b1211",1265012,1266094,1082,"essential","essential","essential","essential","essential","essential"
"225","prmC","b1212",1266094,1266927,833,"essential","essential","essential","essential","essential","essential"
"226","kdsA","b1215",1268165,1269019,854,"essential","essential","essential","essential","essential","essential"
"227","narH","b1225",1283604,1285142,1538,"non-essential","essential","non-essential","essential","non-essential","essential"
"228","narJ","b1226",1285139,1285849,710,"essential","non-essential","non-essential","essential","non-essential","non-essential"
"229","ychS","b1228",1286709,1286984,275,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"230","rttR","b4425",1287066,1287236,170,"non-essential","essential","non-essential","non-essential","non-essential","essential"
"231","tpr","b1229",1287087,1287176,89,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"232","tyrV","b1230",1287244,1287328,84,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"233","ychT","b4771",1298514,1298567,53,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"234","oppA","b1243",1301182,1302813,1631,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"235","oppD","b1246",1304754,1305767,1013,"essential","essential","non-essential","essential","non-essential","essential"
"236","tonB","b1252",1311089,1311808,719,"essential","non-essential","non-essential","essential","non-essential","non-essential"
"237","yciB","b1254",1312351,1312890,539,"essential","essential","non-essential","essential","non-essential","essential"
"238","yciC","b1255",1312920,1313663,743,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"239","yciE","b1257",1314718,1315224,506,"essential","essential","non-essential","essential","non-essential","essential"
"240","yciF","b1258",1315270,1315770,500,"essential","essential","non-essential","essential","essential","essential"
"241","yciG","b1259",1315856,1316035,179,"essential","essential","essential","essential","essential","essential"
"242","trpD","b1263",1319789,1321384,1595,"essential","essential","non-essential","essential","non-essential","essential"
"243","trpE","b1264",1321384,1322946,1562,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"244","trpL","b1265",1323038,1323082,44,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"245","yciO","b1267",1324098,1324718,620,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"246","yciK","b1271",1328354,1329112,758,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"247","topA","b1274",1331048,1333645,2597,"essential","essential","non-essential","essential","essential","essential"
"248","cysB","b1275",1333855,1334829,974,"essential","non-essential","non-essential","non-essential","non-essential","non-essential"
"249","ribA","b1277",1338570,1339160,590,"essential","essential","essential","essential","essential","essential"
"250","lapA","b1279",1340243,1340551,308,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"251","lapB","b1280",1340558,1341727,1169,"essential","essential","non-essential","essential","essential","essential"
"252","osmB","b1283",1343110,1343328,218,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"253","ymiB","b4672",1346796,1346900,104,"non-essential","essential","essential","non-essential","essential","non-essential"
"254","rnb","b1286",1346978,1348912,1934,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"255","fabI","b1288",1350251,1351039,788,"essential","essential","essential","essential","essential","essential"
"256","sapF","b1290",1351828,1352634,806,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"257","sapD","b1291",1352636,1353628,992,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"258","puuP","b1296",1357802,1359187,1385,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"259","puuA","b1297",1359490,1360908,1418,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"260","puuC","b1300",1362743,1364230,1487,"essential","essential","non-essential","essential","non-essential","essential"
"261","ycjM","b1309",1370216,1371895,1679,"essential","essential","non-essential","essential","non-essential","essential"
"262","ycjR","b1314",1376034,1376822,788,"non-essential","essential","non-essential","essential","non-essential","essential"
"263","ymjB","b4524",1381789,1381902,113,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"264","ycjW","b1320",1382963,1383961,998,"non-essential","essential","non-essential","essential","non-essential","essential"
"265","ycjG","b1325",1388930,1389895,965,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"266","ynaI","b1330",1394891,1395922,1031,"non-essential","essential","non-essential","essential","non-essential","essential"
"267","uspE","b1333",1397672,1398622,950,"non-essential","essential","non-essential","essential","non-essential","essential"
"268","abgT","b1336",1400247,1401773,1526,"essential","essential","non-essential","essential","non-essential","essential"
"269","abgB","b1337",1401810,1403255,1445,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"270","dbpA","b1343",1409511,1410884,1373,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"271","intR","b1345",1412000,1413235,1235,"non-essential","essential","non-essential","essential","non-essential","essential"
"272","rcbA","b1347",1413531,1413740,209,"essential","essential","essential","essential","essential","essential"
"273","ralR","b1348",1413733,1413927,194,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"274","recE","b1350",1414786,1417386,2600,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"275","ydaE","b4526",1417838,1418008,170,"essential","essential","essential","non-essential","essential","essential"
"276","kilR","b1352",1418008,1418229,221,"essential","essential","non-essential","essential","essential","essential"
"277","sieB","b1353",1418671,1419159,488,"non-essential","essential","non-essential","essential","non-essential","essential"
"278","racR","b1356",1419765,1420241,476,"essential","essential","essential","essential","essential","essential"
"279","ydaU","b1359",1421119,1421976,857,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"280","ydaV","b1360",1421983,1422729,746,"non-essential","essential","non-essential","essential","non-essential","essential"
"281","ydaW","b1361",1422752,1423312,560,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"282","trkG","b1363",1423782,1425239,1457,"essential","essential","non-essential","essential","essential","essential"
"283","ydaY","b1366",1425621,1425980,359,"non-essential","essential","non-essential","essential","non-essential","non-essential"
"284","ynaA","b1368",1426454,1427482,1028,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"285","stfR","b1372",1429049,1432411,3362,"non-essential","essential","non-essential","essential","non-essential","essential"
"286","pinR","b1374",1433084,1433674,590,"essential","essential","non-essential","essential","non-essential","essential"
"287","ynaM","b4744",1434293,1434406,113,"non-essential","essential","essential","non-essential","essential","essential"
"288","ttcC","b4638",1434958,1435008,50,"non-essential","non-essential","essential","non-essential","essential","essential"
"289","ompN","b1377",1435760,1436893,1133,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"290","paaJ","b1397",1460893,1462098,1205,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"291","paaK","b1398",1462125,1463438,1313,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"292","paaY","b1400",1464471,1465061,590,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"293","ynbG","b4674",1465165,1465230,65,"non-essential","essential","essential","non-essential","essential","essential"
"294","ydbD","b1407",1475144,1477450,2306,"non-essential","essential","non-essential","essential","non-essential","essential"
"295","ynbA","b1408",1477621,1478226,605,"non-essential","essential","non-essential","essential","non-essential","essential"
"296","ynbB","b1409",1478226,1479122,896,"essential","essential","non-essential","essential","essential","essential"
"297","hrpA","b1413",1483061,1486963,3902,"essential","non-essential","non-essential","essential","non-essential","essential"
"298","ydcI","b1422",1494148,1495071,923,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"299","ydcJ","b1423",1495288,1496631,1343,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"300","ydcO","b1433",1504905,1506080,1175,"essential","essential","non-essential","essential","non-essential","essential"
"301","mcbR","b1450",1520262,1520927,665,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"302","yncH","b1455",1526940,1527152,212,"essential","essential","essential","essential","essential","essential"
"303","ydcD","b1457",1529922,1530404,482,"essential","essential","essential","essential","essential","essential"
"304","yncO","b4745",1530319,1530504,185,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"305","yncI","b1459",1530586,1531639,1053,"essential","essential","non-essential","essential","essential","essential"
"306","ydcC","b1460",1531816,1532952,1136,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"307","narZ","b1468",1538850,1542590,3740,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"308","yddJ","b1470",1544384,1544719,335,"non-essential","essential","non-essential","essential","non-essential","essential"
