"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"47","cdsA",14321,195677,196534,857,"essential","essential","essential","essential","essential","essential"
"48","yaeL",14322,196546,197898,1352,"essential","essential","essential","essential","essential","essential"
"49","yaeT",14323,197928,200360,2432,"essential","essential","essential","essential","essential","essential"
"50","lpxD",14325,200971,201996,1025,"essential","essential","essential","essential","essential","essential"
"51","fabZ",14326,202101,202556,455,"non-essential","essential","essential","non-essential","essential","essential"
"52","lpxA",14327,202560,203348,788,"essential","essential","essential","essential","essential","essential"
"53","lpxB",14328,203348,204496,1148,"essential","essential","essential","essential","essential","essential"
"54","dnaE",14330,205126,208608,3482,"essential","essential","essential","essential","essential","essential"
"55","accA",14331,208621,209580,959,"essential","essential","essential","essential","essential","essential"
"56","tilS",14334,212331,213629,1298,"essential","essential","essential","essential","essential","essential"
"57","proS",14340,217057,218775,1718,"essential","essential","non-essential","essential","essential","essential"
"58","rrsH",1936227,223771,225312,1541,"essential","essential","essential","essential","essential","essential"
"59","ileV",1936228,225381,225457,76,"non-essential","non-essential","essential","non-essential","essential","essential"
"60","alaV",1936229,225500,225575,75,"non-essential","non-essential","essential","non-essential","essential","essential"
"61","rrlH",1936230,225759,228662,2903,"essential","essential","essential","essential","essential","essential"
"62","rrfH",1936231,228756,228875,119,"non-essential","non-essential","essential","non-essential","essential","essential"
"63","aspU",1936232,228928,229004,76,"non-essential","non-essential","essential","non-essential","essential","essential"
"64","rnhA",14354,235535,236002,467,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"65","dnaQ",14355,236067,236798,731,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"66","ykfM",3446138,238257,238736,479,"non-essential","essential","essential","non-essential","essential","non-essential"
"67","ykfN",3446140,262374,262436,62,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"68","insN",3446146,269502,269759,257,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"69","insI-1",14394,269827,270978,1151,"essential","essential","essential","essential","essential","essential"
"70","eyeA",7497339,271804,271878,74,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"71","insH-1",14397,273325,274341,1016,"essential","essential","essential","essential","essential","essential"
"72","insB-2",14402,278402,278905,503,"non-essential","essential","essential","non-essential","essential","essential"
"73","insA-2",14403,278824,279099,275,"non-essential","essential","essential","non-essential","essential","essential"
"74","insX",1936246,279338,279586,248,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"75","ykgS",7497340,289653,289857,204,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"76","insB-3",14412,289873,290376,503,"non-essential","essential","essential","non-essential","essential","essential"
"77","insA-3",14413,290295,290570,275,"non-essential","essential","essential","non-essential","essential","essential"
"78","ykgR",7497343,312365,312466,101,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"79","insE",14436,314515,314814,299,"non-essential","essential","essential","non-essential","essential","essential"
"80","insF-1",14437,314811,315677,866,"essential","essential","essential","essential","essential","essential"
"81","lacZ",14482,362455,365529,3074,"non-essential","essential","non-essential","essential","non-essential","essential"
"82","insC",14498,380575,380940,365,"non-essential","essential","essential","non-essential","essential","essential"
"83","insD-1",14499,380898,381803,905,"essential","essential","essential","essential","essential","essential"
"84","yaiS",14502,383283,383840,557,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"85","hemB",14507,387977,388951,974,"essential","essential","essential","essential","essential","essential"
"86","insF-2",14510,390963,391829,866,"essential","essential","essential","essential","essential","essential"
"87","insE",14511,391826,392125,299,"non-essential","essential","essential","non-essential","essential","essential"
"88","secD",14546,426871,428718,1847,"essential","essential","essential","essential","essential","essential"
"89","secF",14547,428729,429700,971,"non-essential","essential","non-essential","essential","non-essential","essential"
"90","ybaD",14551,432226,432675,449,"non-essential","essential","essential","non-essential","essential","non-essential"
"91","ribD",14552,432679,433782,1103,"essential","essential","essential","essential","essential","essential"
"92","ribE",14553,433871,434341,470,"non-essential","essential","essential","non-essential","essential","essential"
"93","nusB",14554,434361,434780,419,"non-essential","essential","non-essential","non-essential","non-essential","essential"
"94","thiL",14555,434858,435835,977,"essential","essential","essential","essential","essential","essential"
"95","dxs",14558,437539,439401,1862,"essential","essential","essential","essential","essential","essential"
"96","ispA",14559,439426,440325,899,"essential","essential","essential","essential","essential","essential"
"97","ffs",1936286,475672,475785,113,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"98","ybaM",14603,489334,489495,161,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"99","dnaX",14607,491316,493247,1931,"essential","essential","essential","essential","essential","essential"
"100","adk",14611,496399,497043,644,"essential","essential","essential","non-essential","essential","essential"
"101","hemH",14612,497279,498241,962,"essential","essential","essential","essential","essential","essential"
"102","rhsD",14634,522485,526765,4280,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"103","lpxH",14661,552441,553163,722,"essential","essential","essential","essential","essential","essential"
"104","ppiB",14662,553166,553660,494,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"105","cysS",14663,553834,555219,1385,"essential","essential","essential","essential","essential","essential"
"106","ybcJ",14665,555884,556096,212,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"107","folD",14666,556098,556964,866,"essential","essential","essential","essential","essential","essential"
"108","argU",1936299,563946,564022,76,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"109","insE",14676,566065,566364,299,"non-essential","essential","essential","non-essential","essential","essential"
"110","insF-3",14677,566361,567227,866,"essential","essential","essential","essential","essential","essential"
"111","ybcK",14680,568125,569651,1526,"essential","non-essential","non-essential","essential","essential","essential"
"112","insH-2",14688,573960,574976,1016,"essential","essential","essential","essential","essential","essential"
"113","pauD",3446163,585280,585324,44,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"114","insL-2",14718,607288,608400,1112,"essential","essential","essential","essential","essential","essential"
"115","ybdD",1936309,631405,631602,197,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"116","citX",14751,646707,647258,551,"non-essential","essential","essential","non-essential","essential","non-essential"
"117","lipA",14765,658474,659439,965,"essential","essential","essential","essential","essential","essential"
"118","ybeD",14768,661602,661865,263,"non-essential","essential","essential","non-essential","essential","non-essential"
"119","mrdB",14771,664424,665536,1112,"essential","essential","essential","essential","essential","essential"
"120","mrdA",14772,665539,667440,1901,"essential","essential","essential","essential","essential","essential"
"121","ybeB",14774,667942,668259,317,"non-essential","essential","essential","non-essential","essential","non-essential"
"122","nadD",14776,669154,669795,641,"non-essential","essential","non-essential","non-essential","essential","non-essential"
"123","holA",14777,669797,670828,1031,"essential","essential","non-essential","essential","essential","essential"
"124","leuS",14779,671424,674006,2582,"essential","essential","essential","essential","essential","essential"
"125","insH-3",14793,687220,688236,1016,"essential","essential","essential","essential","essential","essential"
"126","lnt",14794,688566,690104,1538,"essential","essential","essential","essential","essential","essential"
"127","ybeY",14796,691097,691564,467,"non-essential","essential","essential","non-essential","essential","non-essential"
"128","ubiF",14799,694324,695499,1175,"essential","essential","non-essential","essential","essential","essential"
"129","glnX",1936319,695653,695727,74,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"130","glnW",1936322,695979,696053,74,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"131","glnU",1936323,696088,696162,74,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"132","leuW",1936324,696186,696270,84,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"133","metT",1936325,696280,696356,76,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"134","glnS",14810,705316,706980,1664,"essential","essential","essential","essential","essential","essential"
"135","uof",3446164,709862,709948,86,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"136","fldA",14814,710158,710688,530,"non-essential","essential","essential","non-essential","essential","non-essential"
"137","ybfA",14832,728357,728563,206,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"138","rhsC",14833,728806,732999,4193,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"139","ybfB",14834,732999,733325,326,"non-essential","essential","essential","non-essential","essential","non-essential"
"140","ybfO",14835,733356,734876,1520,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"141","ybfQ",1936330,735668,735907,239,"non-essential","essential","essential","non-essential","essential","essential"
"142","ybfL",14837,736048,737184,1136,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"143","ybfD",14838,737315,738076,761,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"144","cydA",14865,770681,772249,1568,"essential","essential","essential","essential","essential","essential"
"145","cydB",14866,772265,773404,1139,"essential","essential","essential","essential","essential","essential"
"146","lysT",1936337,779777,779852,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"147","valT",1936338,779988,780063,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"148","lysW",1936339,780066,780141,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"149","lysY",1936341,780370,780445,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"150","lysZ",1936342,780592,780667,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"151","lysQ",1936343,780800,780875,75,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"152","ybhT",14887,793996,794145,149,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"153","rybB",1936357,887199,887277,78,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"154","serW",1936364,925107,925194,87,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"155","infA",15008,925448,925666,218,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"156","cydC",15010,926697,928418,1721,"essential","essential","essential","essential","essential","essential"
"157","cydD",15011,928419,930185,1766,"essential","essential","essential","essential","essential","essential"
"158","lolA",15015,936595,937206,611,"essential","essential","essential","non-essential","essential","non-essential"
"159","serS",15017,938651,939943,1292,"essential","essential","essential","essential","essential","essential"
"160","cmk",15034,960424,961107,683,"essential","essential","essential","non-essential","essential","essential"
"161","rpsA",15035,961218,962891,1673,"essential","essential","essential","essential","essential","essential"
"162","ihfB",15036,963051,963335,284,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"163","msbA",15038,965844,967592,1748,"essential","essential","essential","essential","essential","essential"
"164","lpxK",15039,967589,968575,986,"essential","essential","essential","essential","essential","essential"
"165","ycaR",15041,969896,970078,182,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"166","kdsB",15042,970075,970821,746,"essential","essential","essential","essential","essential","essential"
"167","mukF",15046,973542,974864,1322,"essential","essential","essential","essential","essential","essential"
"168","mukE",15047,974845,975549,704,"essential","essential","essential","non-essential","essential","essential"
"169","mukB",15048,975549,980009,4460,"essential","essential","essential","essential","essential","essential"
"170","asnS",15054,986808,988208,1400,"essential","essential","essential","essential","essential","essential"
"171","fabA",15078,1015175,1015693,518,"non-essential","essential","essential","non-essential","essential","non-essential"
"172","ycbG",15080,1017708,1018160,452,"non-essential","essential","essential","non-essential","essential","non-essential"
"173","serT",1936382,1030848,1030935,87,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"174","insA-4",1936385,1049056,1049331,275,"non-essential","essential","essential","non-essential","essential","essential"
"175","insB-4",15112,1049250,1049753,503,"non-essential","essential","essential","non-essential","essential","essential"
"176","gnsA",1936386,1051290,1051463,173,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"177","torD",15122,1061022,1061621,599,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"178","yccJ",15127,1066087,1066314,227,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"179","ycdF",15129,1067304,1067477,173,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"180","ycdT",15148,1092099,1093457,1358,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"181","insF-4",15149,1093498,1094364,866,"essential","essential","essential","essential","essential","essential"
"182","insE",15150,1094361,1094660,299,"non-essential","essential","essential","non-essential","essential","essential"
"183","serX",1936397,1096788,1096875,87,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"184","lpxL",15176,1114885,1115805,920,"essential","essential","essential","essential","essential","essential"
"185","mviN",15191,1127062,1128597,1535,"essential","essential","essential","essential","essential","essential"
"186","rne",15206,1140405,1143590,3185,"essential","essential","non-essential","essential","non-essential","essential"
"187","rpmF",15211,1146590,1146763,173,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"188","fabH",15213,1147982,1148935,953,"essential","essential","essential","essential","essential","essential"
"189","fabD",15214,1148951,1149880,929,"essential","essential","essential","essential","essential","essential"
"190","fabG",15215,1149893,1150627,734,"essential","essential","essential","essential","essential","essential"
"191","acpP",15216,1150838,1151074,236,"non-essential","essential","essential","non-essential","essential","essential"
"192","tmk",15220,1154347,1154988,641,"essential","essential","essential","non-essential","essential","essential"
"193","holB",15221,1154985,1155989,1004,"essential","essential","non-essential","essential","essential","essential"
"194","ycfR",15234,1168296,1168553,257,"non-essential","essential","essential","non-essential","essential","non-essential"
"195","lolC",15238,1174650,1175849,1199,"essential","essential","essential","essential","essential","essential"
"196","ycfV",15239,1175842,1176543,701,"essential","essential","essential","non-essential","essential","essential"
"197","lolE",15240,1176543,1177787,1244,"essential","essential","essential","essential","essential","essential"
"198","purB",15253,1189839,1191209,1370,"essential","essential","essential","essential","essential","essential"
"199","ycfB",15255,1191890,1192996,1106,"essential","essential","essential","essential","essential","essential"
"200","ymfB",15256,1193050,1193511,461,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"201","ymfD",15259,1196090,1196755,665,"non-essential","essential","non-essential","non-essential","essential","essential"
"202","ymfJ",15266,1200999,1201307,308,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"203","ymfK",15267,1201482,1202156,674,"essential","essential","essential","non-essential","essential","essential"
"204","b1146",15268,1202247,1202447,200,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"205","elbA",15282,1210903,1211226,323,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"206","ycgH",1936425,1218824,1221471,2647,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"207","pth",15326,1257152,1257736,584,"essential","essential","essential","non-essential","essential","essential"
"208","prsA",15329,1260151,1261098,947,"essential","essential","essential","essential","essential","essential"
"209","ispE",15330,1261249,1262100,851,"essential","essential","essential","essential","essential","essential"
"210","lolB",15331,1262100,1262723,623,"essential","essential","essential","non-essential","essential","essential"
"211","hemA",15332,1262937,1264193,1256,"essential","essential","essential","essential","essential","essential"
"212","prfA",15333,1264235,1265317,1082,"essential","essential","essential","essential","essential","essential"
"213","prmC",15334,1265317,1266150,833,"essential","essential","essential","essential","essential","essential"
"214","kdsA",15337,1267388,1268242,854,"essential","essential","essential","essential","essential","essential"
"215","ldrA",1936439,1268391,1268498,107,"non-essential","non-essential","essential","non-essential","essential","essential"
"216","rdlA",1936440,1268546,1268612,66,"non-essential","non-essential","essential","non-essential","essential","essential"
"217","ldrB",1936441,1268926,1269033,107,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"218","rdlB",1936442,1269081,1269146,65,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"219","ldrC",1936443,1269461,1269568,107,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"220","rdlC",1936444,1269616,1269683,67,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"221","tyrV",1936446,1286467,1286551,84,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"222","trpD",15383,1317813,1319408,1595,"essential","non-essential","non-essential","essential","non-essential","essential"
"223","trpL",15385,1321062,1321106,44,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"224","topA",15394,1329072,1331669,2597,"essential","essential","non-essential","essential","essential","essential"
"225","cysB",15395,1331879,1332853,974,"essential","non-essential","non-essential","non-essential","essential","non-essential"
"226","ribA",15397,1336594,1337184,590,"essential","essential","essential","non-essential","essential","essential"
"227","yciS",15399,1338267,1338575,308,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"228","yciM",15400,1338582,1339751,1169,"essential","essential","essential","essential","essential","essential"
"229","ymiB",7497346,1344820,1344924,104,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"230","fabI",15408,1348275,1349063,788,"essential","essential","essential","essential","essential","essential"
"231","insH-4",15451,1394100,1395116,1016,"essential","essential","essential","essential","essential","essential"
"232","ynaJ",15452,1395389,1395646,257,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"233","isrA",1936472,1403676,1403833,157,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"234","ydaL",15460,1404003,1404566,563,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"235","racC",15471,1415512,1415787,275,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"236","ydaE",1936475,1415862,1416032,170,"non-essential","non-essential","essential","non-essential","essential","essential"
"237","ydaD",15473,1416032,1416253,221,"non-essential","non-essential","essential","non-essential","essential","essential"
"238","racR",15478,1417789,1418265,476,"non-essential","essential","essential","non-essential","essential","essential"
"239","ydaS",15479,1418389,1418685,296,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"240","insH-5",15492,1425770,1426750,980,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"241","tfaR",15495,1430435,1431010,575,"non-essential","essential","essential","non-essential","essential","essential"
"242","pinR",15496,1431108,1431698,590,"non-essential","non-essential","non-essential","non-essential","essential","essential"
"243","ynaE",15497,1432015,1432248,233,"non-essential","essential","essential","non-essential","essential","essential"
"244","ttcC",3446175,1432982,1433032,50,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"245","ydbH",15503,1441075,1443714,2639,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"246","paaB",15511,1452892,1453179,287,"non-essential","essential","essential","non-essential","essential","non-essential"
"247","paaK",15520,1460149,1461462,1313,"essential","essential","non-essential","essential","essential","essential"
"248","ynbG",7497348,1463189,1463254,65,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"249","insD-2",15524,1465945,1466850,905,"essential","essential","essential","essential","essential","essential"
"250","insC",15525,1466808,1467173,365,"non-essential","essential","essential","non-essential","essential","essential"
"251","insI-2",15526,1467382,1468533,1151,"essential","essential","essential","essential","essential","essential"
"252","hrpA",15535,1481085,1484987,3902,"essential","non-essential","non-essential","essential","non-essential","essential"
"253","rydC",3446176,1489467,1489530,63,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"254","sokB",1936501,1490143,1490198,55,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"255","trg",15542,1490494,1492134,1640,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"256","yncJ",15557,1506858,1507088,230,"non-essential","essential","essential","non-essential","essential","non-essential"
"257","ydcV",15564,1512786,1513580,794,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"258","ydcW",15565,1513602,1515026,1424,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"259","b1445",15566,1515413,1515586,173,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"260","ydcZ",15568,1515906,1516355,449,"non-essential","essential","essential","non-essential","essential","essential"
"261","yncA",15569,1516352,1516870,518,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"262","yncD",15572,1518987,1521089,2102,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"263","yncH",15576,1524964,1525176,212,"non-essential","non-essential","essential","non-essential","essential","essential"
"264","rhsE",15577,1525926,1527962,2036,"non-essential","essential","non-essential","essential","non-essential","essential"
"265","ydcD",15578,1527946,1528428,482,"non-essential","essential","essential","non-essential","essential","non-essential"
"266","yncI",15580,1528610,1529663,1053,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"267","ydcC",15581,1529840,1530976,1136,"essential","essential","essential","essential","essential","essential"
"268","narZ",15589,1536874,1540614,3740,"essential","non-essential","non-essential","essential","non-essential","essential"
"269","yddJ",15591,1542408,1542743,335,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"270","yddK",15592,1542782,1543771,989,"essential","essential","essential","essential","essential","essential"
"271","yddL",15593,1543774,1544052,278,"non-essential","essential","essential","non-essential","essential","essential"
"272","fdnG",15595,1545425,1548472,3047,"essential","non-essential","non-essential","essential","non-essential","essential"
"273","yddM",15598,1550422,1550706,284,"non-essential","essential","essential","non-essential","essential","non-essential"
"274","gadB",15614,1568669,1570069,1400,"essential","essential","non-essential","essential","essential","essential"
"275","ydeO",15620,1580950,1581711,761,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"276","yneN",5752727,1581786,1581983,197,"non-essential","non-essential","essential","non-essential","essential","essential"
"277","hipB",15629,1590200,1590466,266,"non-essential","essential","essential","non-essential","essential","non-essential"
"278","yneH",15645,1610349,1611275,926,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"279","yneM",3446178,1620670,1620765,95,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"280","ydfK",15666,1631096,1631329,233,"non-essential","essential","essential","non-essential","essential","essential"
"281","pinQ",15667,1631646,1632236,590,"non-essential","non-essential","non-essential","non-essential","essential","essential"
"282","tfaQ",15668,1632334,1632909,575,"non-essential","essential","essential","non-essential","essential","essential"
"283","ynfO",1936532,1634780,1635013,233,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"284","relB",15686,1643657,1643896,239,"non-essential","essential","essential","non-essential","essential","non-essential"
"285","dicA",15692,1645958,1646365,407,"non-essential","essential","essential","non-essential","essential","essential"
"286","ydfA",15693,1646532,1646687,155,"non-essential","non-essential","essential","non-essential","essential","essential"
"287","dicF",1936540,1647406,1647458,52,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"288","insD",15699,1648869,1649561,692,"essential","essential","essential","non-essential","essential","essential"
"289","b1591",15712,1662530,1663144,614,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"290","ydgU",3446181,1669801,1669884,83,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"291","mdtI",15720,1670844,1671173,329,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"292","pntA",15724,1674395,1675927,1532,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"293","malI",15741,1696176,1697204,1028,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"294","rsxG",15752,1708228,1708848,620,"essential","essential","essential","non-essential","essential","essential"
"295","rsxE",15753,1708852,1709547,695,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"296","tyrS",15758,1713972,1715246,1274,"essential","essential","essential","essential","essential","essential"
"297","pdxH",15759,1715375,1716031,656,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"298","slyB",1936555,1717900,1718367,467,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"299","slyA",15763,1718414,1718848,434,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"300","sodC",15767,1722158,1722679,521,"non-essential","essential","essential","non-essential","essential","non-essential"
"301","ydhM",15770,1724047,1724646,599,"essential","essential","essential","non-essential","essential","essential"
"302","rnt",15773,1726371,1727018,647,"essential","essential","essential","non-essential","essential","essential"
"303","lhr",15774,1727111,1731727,4616,"essential","non-essential","non-essential","essential","non-essential","essential"
"304","ydhD",15775,1731778,1732125,347,"non-essential","essential","essential","non-essential","essential","non-essential"
"305","ydhO",15776,1732459,1733274,815,"non-essential","essential","non-essential","essential","non-essential","essential"
"306","ynhF",3446182,1735480,1735569,89,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"307","ribC",15783,1740625,1741266,641,"essential","essential","essential","non-essential","essential","essential"
"308","ydhT",15788,1746771,1747583,812,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"309","ydhU",15789,1747587,1748372,785,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"310","sufC",15801,1759790,1760536,746,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"311","rydB",1936567,1762737,1762804,67,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"312","ydiN",15810,1770536,1771801,1265,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
