"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"84","unnamed_gene_51","STM14_0113",108892,109053,161,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"85","djlA","STM14_0114",109136,109948,812,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"86","rluA","STM14_0115",110043,110702,659,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"87","hepA","STM14_0116",110714,113620,2906,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"88","polB","STM14_0117",113794,116145,2351,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"89","araD","STM14_0120",117953,118648,695,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"90","araA","STM14_0121",118789,120291,1502,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"91","araB","STM14_0122",120302,122011,1709,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"92","araC","STM14_0123",122352,123197,845,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"93","yabI","STM14_0124",123316,124083,767,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"94","thiQ","STM14_0125",124122,124829,707,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"95","thiP","STM14_0126",124813,126423,1610,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"96","tbpA","STM14_0127",126399,127382,983,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"97","unnamed_gene_54","STM14_0128",127427,127546,119,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"98","yabN","STM14_0129",127560,129218,1658,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"99","unnamed_gene_55","STM14_0130",129166,129492,326,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"100","leuD","STM14_0131",129769,130374,605,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"101","leuC","STM14_0132",130385,131785,1400,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"102","leuB","STM14_0133",131788,132879,1091,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"103","leuA","STM14_0134",132879,134450,1571,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"104","ilvI","STM14_0139",136610,138271,1661,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"105","ilvH","STM14_0140",138274,138765,491,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"106","unnamed_gene_58","STM14_0141",138755,138877,122,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"107","fruR","STM14_0142",139049,140053,1004,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"108","unnamed_gene_60","STM14_0144",140496,140633,137,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"109","yabB","STM14_0145",140659,141117,458,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"110","mraW","STM14_0146",141119,142060,941,"essential","non-essential","non-essential","non-essential","essential","non-essential"
"111","ftsL","STM14_0147",142057,142422,365,"non-essential","essential","essential","non-essential","non-essential","essential"
"112","ftsI","STM14_0148",142438,144204,1766,"essential","essential","non-essential","essential","non-essential","essential"
"113","murE","STM14_0149",144191,145678,1487,"essential","essential","essential","essential","non-essential","essential"
"114","murF","STM14_0150",145675,147033,1358,"essential","essential","essential","essential","non-essential","essential"
"115","mraY","STM14_0151",147027,148109,1082,"essential","essential","essential","essential","non-essential","essential"
"116","murD","STM14_0152",148112,149428,1316,"essential","essential","essential","essential","non-essential","essential"
"117","ftsW","STM14_0153",149428,150672,1244,"essential","essential","non-essential","essential","non-essential","essential"
"118","murG","STM14_0154",150669,151736,1067,"essential","essential","essential","essential","non-essential","essential"
"119","murC","STM14_0155",151855,153330,1475,"essential","essential","essential","essential","non-essential","essential"
"120","ddl_2","STM14_0156",153323,154243,920,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"121","ftsQ","STM14_0157",154245,155075,830,"essential","essential","essential","essential","non-essential","essential"
"122","ftsA","STM14_0158",155072,156334,1262,"essential","essential","essential","essential","non-essential","essential"
"123","ftsZ","STM14_0159",156395,157546,1151,"essential","essential","essential","essential","non-essential","essential"
"124","lpxC","STM14_0160",157647,158564,917,"essential","essential","non-essential","essential","non-essential","essential"
"125","yacA","STM14_0161",158843,159340,497,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"126","secA","STM14_0162",159402,162107,2705,"essential","essential","non-essential","essential","non-essential","essential"
"127","mutT","STM14_0163",162259,162654,395,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"128","unnamed_gene_61","STM14_0164",162688,162822,134,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"129","unnamed_gene_62","STM14_0165",162875,162979,104,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"130","yacG","STM14_0166",162976,163167,191,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"131","yacF","STM14_0167",163177,163920,743,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"132","coaE","STM14_0168",163920,164540,620,"essential","essential","essential","essential","non-essential","essential"
"133","guaC","STM14_0169",164766,165809,1043,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"134","hofC","STM14_0170",165840,167042,1202,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"135","hofB","STM14_0171",167032,168417,1385,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"136","ppdD","STM14_0172",168427,168864,437,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"137","unnamed_gene_63","STM14_0173",168890,169072,182,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"138","nadC","STM14_0174",169086,169979,893,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"139","ampD","STM14_0175",170067,170630,563,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"140","ampE","STM14_0176",170627,171481,854,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"141","unnamed_gene_64","STM14_0177",171573,172523,950,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"142","unnamed_gene_65","STM14_0178",172523,173929,1406,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"143","unnamed_gene_66","STM14_0179",173962,174090,128,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"144","aroP","STM14_0180",174093,175466,1373,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"145","unnamed_gene_67","STM14_0181",175672,175794,122,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"146","pdhR","STM14_0182",176029,176793,764,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"147","aceE","STM14_0183",176953,179616,2663,"essential","non-essential","non-essential","essential","essential","essential"
"148","aceF","STM14_0184",179631,181520,1889,"essential","non-essential","non-essential","essential","non-essential","essential"
"149","lpdA","STM14_0185",181720,183144,1424,"essential","non-essential","non-essential","essential","non-essential","non-essential"
"150","unnamed_gene_68","STM14_0186",183222,183350,128,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"151","unnamed_gene_69","STM14_0187",183433,183717,284,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"152","unnamed_gene_70","STM14_0188",183755,184546,791,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"153","yacH","STM14_0189",184559,186173,1614,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"154","acnB","STM14_0190",186562,189159,2597,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"155","unnamed_gene_71","STM14_0191",189220,190062,842,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"156","yacL","STM14_0192",190308,190670,362,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"157","kdgT","STM14_0193",190905,191858,953,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"158","unnamed_gene_72","STM14_0194",191855,193126,1271,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"159","pdxA_2","STM14_0195",193116,194099,983,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"160","unnamed_gene_73","STM14_0196",194109,194876,767,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"161","speD","STM14_0197",194906,195700,794,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"162","speE","STM14_0198",195721,196581,860,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"163","yacC","STM14_0199",196688,197035,347,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"164","cueO","STM14_0200",197237,198847,1610,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"165","gcd","STM14_0201",198925,201315,2390,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"166","hpt","STM14_0202",201521,202057,536,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"167","yadF","STM14_0203",202115,202777,662,"essential","essential","essential","essential","non-essential","essential"
"168","yadG","STM14_0204",202886,203812,926,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"169","yadH","STM14_0205",203809,204579,770,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"170","stiH","STM14_0206",204696,205775,1079,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"171","stiC","STM14_0207",205784,208330,2546,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"172","stiB","STM14_0208",208357,209040,683,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"173","unnamed_gene_74","STM14_0210",209796,209966,170,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"174","yadE","STM14_0212",210499,211728,1229,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"175","panD","STM14_0213",211735,212115,380,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"176","panC","STM14_0214",212210,213064,854,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"177","unnamed_gene_75","STM14_0215",213058,213171,113,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"178","panB","STM14_0216",213190,213981,791,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"179","pcnB","STM14_0218",214578,215996,1418,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"180","yadB","STM14_0219",216137,217033,896,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"181","dksA","STM14_0220",217102,217557,455,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"182","sfsA","STM14_0221",217734,218438,704,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"183","ligT","STM14_0222",218455,218985,530,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"184","hrpB","STM14_0223",219013,221487,2474,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"185","unnamed_gene_76","STM14_0224",221426,221587,161,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"186","unnamed_gene_77","STM14_0225",221522,221629,107,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"187","mrcB","STM14_0226",221628,224150,2522,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"188","unnamed_gene_78","STM14_0227",224289,224429,140,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"189","fhuA","STM14_0228",224443,226632,2189,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"190","fhuC","STM14_0229",226681,227478,797,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"191","fhuD","STM14_0230",227478,228368,890,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"192","fhuB","STM14_0231",228365,230422,2057,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"193","unnamed_gene_80","STM14_0233",231001,231144,143,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"194","stfC","STM14_0235",232007,234664,2657,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"195","stfD","STM14_0236",234682,235434,752,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"196","stfE","STM14_0237",235453,235965,512,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"197","stfF","STM14_0238",235962,236438,476,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"198","stfG","STM14_0239",236438,236968,530,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"199","unnamed_gene_81","STM14_0240",236968,237807,839,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"200","hemL","STM14_0241",237915,239195,1280,"essential","non-essential","non-essential","non-essential","essential","non-essential"
"201","unnamed_gene_82","STM14_0242",239222,239365,143,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"202","yadQ","STM14_0243",239365,240786,1421,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"203","yadR","STM14_0244",240868,241212,344,"non-essential","essential","essential","non-essential","non-essential","non-essential"
"204","yadS","STM14_0245",241313,241936,623,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"205","btuF","STM14_0246",241973,242773,800,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"206","pfs","STM14_0247",242766,243464,698,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"207","htrA","STM14_0249",245196,246623,1427,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"208","cdaR","STM14_0250",246776,247933,1157,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"209","yaeH","STM14_0251",248022,248408,386,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"210","unnamed_gene_83","STM14_0252",248655,249957,1302,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"211","dapD","STM14_0253",249994,250818,824,"essential","essential","essential","essential","non-essential","essential"
"212","glnD","STM14_0254",250848,253520,2672,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"213","map","STM14_0255",253757,254551,794,"essential","essential","essential","essential","non-essential","essential"
"214","unnamed_gene_84","STM14_0256",254799,255083,284,"non-essential","non-essential","essential","non-essential","non-essential","essential"
"215","rpsB","STM14_0257",255002,255727,725,"essential","essential","non-essential","essential","non-essential","essential"
"216","tsf","STM14_0258",255985,256836,851,"essential","essential","essential","essential","non-essential","essential"
"217","pyrH","STM14_0259",256981,257706,725,"essential","essential","essential","essential","non-essential","essential"
"218","frr","STM14_0260",257853,258410,557,"essential","essential","essential","essential","non-essential","non-essential"
"219","dxr","STM14_0261",258551,259747,1196,"essential","essential","essential","essential","non-essential","essential"
"220","unnamed_gene_85","STM14_0262",259830,260033,203,"non-essential","non-essential","non-essential","non-essential","essential","essential"
"221","uppS","STM14_0263",260060,260818,758,"essential","essential","essential","essential","non-essential","essential"
"222","cdsA","STM14_0264",260831,261688,857,"essential","essential","essential","essential","non-essential","essential"
"223","yaeL","STM14_0265",261700,263052,1352,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"224","yaeT","STM14_0266",263084,265498,2414,"essential","essential","non-essential","essential","non-essential","essential"
"225","hlpA","STM14_0267",265621,266106,485,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"226","lpxD","STM14_0268",266110,267135,1025,"essential","essential","essential","essential","non-essential","essential"
"227","fabZ","STM14_0269",267151,267696,545,"essential","essential","essential","essential","non-essential","essential"
"228","lpxA","STM14_0270",267700,268488,788,"essential","essential","essential","essential","non-essential","essential"
"229","lpxB","STM14_0271",268488,269636,1148,"essential","essential","essential","essential","non-essential","essential"
"230","rnhB","STM14_0272",269633,270229,596,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"231","dnaE","STM14_0273",270253,273735,3482,"essential","essential","essential","essential","non-essential","essential"
"232","accA","STM14_0274",273748,274707,959,"essential","essential","essential","essential","non-essential","essential"
"233","unnamed_gene_86","STM14_0275",274887,276650,1763,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"234","ldcC","STM14_0276",276726,278867,2141,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"235","yaeR","STM14_0277",278923,279312,389,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"236","tilS","STM14_0278",279375,280667,1292,"essential","essential","essential","essential","non-essential","essential"
"237","rof","STM14_0279",280751,281011,260,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"238","yaeP","STM14_0280",280998,281216,218,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"239","yaeQ","STM14_0281",281396,281941,545,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"240","yaeJ","STM14_0282",281938,282360,422,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"241","cutF","STM14_0283",282392,283093,701,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"242","proS","STM14_0284",283167,284885,1718,"essential","essential","essential","essential","non-essential","essential"
"243","yaeB","STM14_0285",284996,285703,707,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"244","rcsF","STM14_0286",285700,286104,404,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"245","metQ","STM14_0287",286223,287038,815,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"246","yaeE","STM14_0288",287077,287730,653,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"247","metN","STM14_0289",287723,288754,1031,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"248","yaeD","STM14_0290",288944,289510,566,"essential","essential","non-essential","essential","non-essential","non-essential"
"249","unnamed_gene_87","STM14_0291",289581,289703,122,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"250","unnamed_gene_88","STM14_0292",289616,289819,203,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"251","rrsH","STM14_0293",289889,291432,1543,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"252","ileV","STM14_0294",291490,291566,76,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"253","unnamed_gene_89","STM14_0296",291760,291876,116,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"254","rrlH","STM14_0297",291944,295036,3092,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"255","aspU","STM14_0299",295528,295604,76,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"256","dkgB","STM14_0300",295769,296572,803,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"257","yafC","STM14_0301",296593,297507,914,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"258","unnamed_gene_90","STM14_0302",297612,298787,1175,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"259","yafD","STM14_0303",298940,299719,779,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"260","yafE","STM14_0304",299797,300567,770,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"261","dniR","STM14_0305",300623,301990,1367,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"262","gloB","STM14_0306",302062,302817,755,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"263","yafS","STM14_0307",302852,303574,722,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
